g,bp_rp
7.458949,0.005886078
8.918853,0.2312851
9.055259,0.5995903
9.671386,0.21386337
9.758799,3.1968756
9.899413,1.9977703
10.106992,0.33332634
10.194093,0.27442646
10.2381935,0.27300262
10.252884,3.3816452
10.299918,2.616477
10.494707,0.5486202
10.592783,1.397687
10.636718,1.8749924
10.653712,1.4459171
10.680494,1.7506313
10.763896,0.64976215
10.793058,0.8246269
10.88509,0.41850471
10.907352,0.48848915
10.992297,1.3516283
11.021925,0.5083685
11.039688,1.6705303
11.079011,1.5014219
11.0843725,1.3345861
11.089796,2.8049335
11.143777,0.47402096
11.304607,0.36921024
11.383718,0.5683193
11.389218,4.452689
11.408003,0.87740993
11.42027,1.3617496
11.442923,0.43590164
11.452602,1.07693
11.484852,1.5403833
11.499338,0.40180779
11.531131,0.69395256
11.579713,0.26148224
11.580053,2.1902046
11.5814905,0.43925667
11.581816,2.2134209
11.618288,0.45740604
11.625017,1.4544697
11.626245,0.47790337
11.658117,0.4607792
11.661364,1.4677763
11.666272,0.47184277
11.699886,0.939023
11.716169,2.3754683
11.719963,0.43722057
11.784581,0.36292362
11.798014,0.3332367
11.809739,0.33022308
11.851198,0.40963745
11.879699,2.9832516
11.907857,0.46717644
11.934154,0.5101156
11.934681,1.4324474
11.952318,0.6302357
11.953975,0.95333004
11.95734,1.9147539
11.958527,0.2908125
11.984378,0.39276314
11.998193,0.6034241
12.027964,0.5288067
12.050294,1.728653
12.064166,1.5056429
12.072335,0.45505238
12.073658,0.82738495
12.088933,0.3872156
12.108766,0.44121075
12.115466,0.5758257
12.116448,2.4127035
12.124821,0.29115963
12.127065,1.3357344
12.150767,1.507802
12.248896,0.47470665
12.270391,0.49526405
12.272625,1.3913851
12.2735195,0.9905262
12.291289,0.3877716
12.298346,0.71737194
12.3103285,0.51680946
12.325547,1.4095764
12.343409,1.8435802
12.429636,0.5284958
12.455174,0.47696495
12.457131,0.8879013
12.472881,0.96567345
12.505341,0.540226
12.542749,2.0470753
12.555538,1.5319872
12.55687,2.041769
12.560162,1.600502
12.568876,0.46975517
12.599218,0.49221325
12.601245,
12.632686,0.5189314
12.635303,0.6169729
12.653407,0.4477682
12.661231,1.3104897
12.696283,0.5230484
12.7128,0.65864277
12.72867,1.599843
12.729322,0.6030121
12.729913,0.89160156
12.7518425,0.67139244
12.75626,0.93821526
12.758989,0.674201
12.772971,1.5996132
12.784323,1.0470104
12.819471,0.45619965
12.82376,1.6888332
12.825834,0.7805815
12.830974,1.4893284
12.847865,2.3565397
12.849901,1.6240396
12.856583,0.9468775
12.8691225,1.2881193
12.87175,0.5981178
12.899641,0.9445362
12.901538,0.62895775
12.919384,1.5159588
12.92707,0.47822952
12.929336,0.64219666
12.929664,0.49944878
12.934316,
12.934706,0.8649683
12.935039,0.465724
12.940979,0.61516
12.961793,0.46732998
12.970899,0.48743343
12.98304,0.48014355
12.983525,1.5029469
12.994456,0.54520893
13.014671,1.5623999
13.024625,0.41578865
13.025834,0.60956764
13.034742,1.834981
13.047769,2.2225618
13.0713415,1.4791689
13.074121,1.0251751
13.084393,0.5660372
13.08573,1.5873566
13.093652,0.9516516
13.102267,0.5470848
13.125252,1.5657864
13.126777,0.55768204
13.137092,0.56417084
13.139283,1.5806637
13.152893,0.5183935
13.153492,0.5862856
13.164115,1.0341654
13.166831,0.6187887
13.176027,0.9032917
13.1760645,0.8773918
13.178668,0.5669956
13.179228,0.5015621
13.181369,0.7086811
13.183358,0.92543507
13.190426,1.5682383
13.20901,1.5548201
13.21746,0.52726936
13.219535,0.5102463
13.219773,0.933712
13.239301,0.6309233
13.249093,0.55396175
13.256188,0.5552187
13.256808,1.4702358
13.262761,0.8418226
13.28073,0.74293137
13.295181,0.932354
13.295402,0.6014433
13.296833,0.59851074
13.310079,0.62963676
13.317792,0.630146
13.319411,1.0237122
13.3235035,2.2454367
13.340223,0.9341831
13.349154,0.9207792
13.355456,0.5911455
13.358544,0.6724024
13.374881,0.59019184
13.376769,0.62940884
13.393826,1.0512409
13.395448,1.4953957
13.398032,1.0935163
13.398214,0.9953871
13.407013,0.49890232
13.412326,1.6997843
13.415087,0.7781935
13.422362,0.8472805
13.423776,0.69940376
13.425388,0.63610744
13.455731,0.7026434
13.455923,0.92977047
13.480849,1.6446304
13.48569,1.1139698
13.487681,0.5815811
13.492981,0.591732
13.496456,0.61369514
13.49772,1.0095224
13.49807,0.6195259
13.504272,0.6502533
13.512031,0.91755104
13.521578,1.6068792
13.532372,1.5540819
13.53748,1.3144455
13.537792,0.4761095
13.579809,1.799159
13.581465,1.0545359
13.588509,0.7675228
13.6052685,0.67031574
13.607214,0.38244057
13.607623,0.5913763
13.6150055,0.7426262
13.623041,0.7233505
13.625007,0.99207306
13.62591,1.9169092
13.643433,0.7903023
13.65599,1.019947
13.6616335,0.4334755
13.682543,0.6680403
13.685323,0.89449215
13.69053,2.0314693
13.693317,
13.69486,1.637949
13.697819,0.686553
13.70857,2.0917292
13.710159,0.6515875
13.7104845,0.67873764
13.716422,0.5597639
13.716909,0.64852333
13.72747,1.2358179
13.729039,0.9017668
13.729851,0.6794405
13.737676,2.0581512
13.764634,0.66813374
13.766887,0.7324476
13.771222,0.8781023
13.773281,0.60184956
13.784202,0.55783844
13.808207,0.746809
13.809481,1.5235462
13.811106,0.8177967
13.813725,0.9872885
13.818512,0.84799194
13.818735,0.9925785
13.819144,1.5836067
13.824663,0.9842539
13.8292675,1.5951595
13.834176,0.7568712
13.842071,1.1440506
13.8452,0.84191036
13.846753,1.3518629
13.850242,0.91471386
13.852873,1.9810944
13.855314,0.60869217
13.867949,0.7469492
13.872228,1.6068726
13.874642,1.0714836
13.874959,1.5066776
13.881221,1.5491943
13.894187,0.6956873
13.895501,0.9120197
13.897659,1.8752518
13.901834,0.73083115
13.903087,0.8694887
13.904646,1.4664602
13.913157,1.2377625
13.919288,0.8778877
13.924392,0.7529125
13.925275,1.7083645
13.92613,0.7381792
13.949041,0.908165
13.9512,1.6462622
13.954797,0.74656296
13.965281,0.4813347
13.976398,1.3330116
13.978622,0.9973736
13.984761,1.8538666
13.989891,0.9934082
13.997411,0.66299057
14.003393,0.76833916
14.00586,2.1786165
14.014957,0.84656334
14.019009,1.2366467
14.021691,0.790184
14.03276,1.5661955
14.034708,0.82850266
14.054509,0.80077744
14.059129,0.84501743
14.063318,1.0958834
14.074696,1.6416788
14.075412,0.6384773
14.077022,1.0757494
14.085876,0.7603226
14.088488,0.9910631
14.090206,1.4300547
14.096358,0.8966932
14.108876,1.0867586
14.114323,0.94527435
14.116076,1.0980873
14.1207905,1.5383778
14.123689,1.8113928
14.1449995,0.71987915
14.146963,0.79043674
14.150667,0.85438347
14.151624,1.0072584
14.151889,0.5480261
14.1628685,0.93760395
14.163984,0.9971113
14.168434,1.813487
14.175873,1.6329031
14.177294,0.769228
14.185466,1.0233631
14.187051,0.7594547
14.190698,1.0563145
14.192541,0.6545868
14.192601,0.79082584
14.193041,1.6963263
14.194141,1.221178
14.195709,0.9787493
14.196475,1.1135244
14.19754,
14.202561,1.5448828
14.205833,0.99358654
14.212271,1.5463076
14.215326,0.6326933
14.217587,1.1143684
14.220443,1.750021
14.224391,1.0152216
14.22596,1.039774
14.236564,0.7965059
14.239028,0.5912552
14.252579,0.9412241
14.253408,1.5922909
14.256744,0.81553173
14.257092,0.95718575
14.259944,0.8712902
14.262887,0.88084984
14.27326,1.6837263
14.27586,0.45035553
14.276038,0.92399025
