ra,dec,g
88.1640794471,32.34069030701,14.878093
88.15329811114,32.34011265227,18.903227
88.1454070499,32.34229627313,19.386694
88.14770478463,32.34778549318,19.40498
88.15153736124,32.34687156556,18.502754
88.19995563235,32.35354958841,19.792274
88.20315936049,32.35586821096,18.863432
88.20646950638,32.36063658997,18.909752
88.21830988796,32.36343784789,17.160513
88.21524139222,32.36327862951,19.219112
88.21708588933,32.36401866706,17.643543
88.22007936047,32.36971569875,13.88889
88.21635426191,32.36965204946,17.333082
88.21515368541,32.37129497844,18.606318
88.17916713009,32.3439561295,15.659131
88.18848277036,32.35016515434,17.663055
88.19734612644,32.35529380163,19.943996
88.1895545692,32.35511161625,15.35406
88.18137922538,32.35079437166,15.541998
88.18173200916,32.35120052271,16.919754
88.19047812867,32.3584771845,17.595505
88.19084221705,32.36018159243,17.612211
88.1875890382,32.36201431049,16.098955
88.171242813,32.35273957494,19.982395
88.15694831098,32.35346093984,18.838266
88.16107732439,32.3573880522,19.995152
88.16220101137,32.36079787846,16.126635
88.17533952745,32.35650016511,14.00449
88.17311250295,32.36091144588,16.143673
88.17610424314,32.36052157934,18.759691
88.17706659707,32.36546691761,17.87026
88.17717484944,32.37253819281,17.115505
88.17614337566,32.37549129869,14.785228
88.19788808717,32.35526005919,18.391855
88.20261405297,32.36089609552,15.557853
88.19435963315,32.36144820417,19.69515
88.19843525661,32.3662354741,16.9265
88.20898670863,32.36971195766,15.690681
88.20916580291,32.3744789337,19.952652
88.21441846955,32.37607012623,18.135683
88.21751179531,32.37545246595,19.594296
88.21760319317,32.37742522499,17.220823
88.20905635998,32.37703431369,19.817358
88.21219462804,32.38007349648,19.333412
88.18994061903,32.37114677226,19.700228
88.18438066576,32.37025619543,16.035751
88.18668023029,32.37114981847,16.675783
88.18445994857,32.37359356064,17.030132
88.1916899873,32.37864892049,17.94549
88.18640350154,32.37735878842,19.643602
88.18331411685,32.3777828322,16.222113
88.18036008441,32.38028626192,17.802788
88.18847379458,32.37968430551,18.080933
88.18808853979,32.38238639669,17.632303
88.18984288636,32.38326337623,18.201197
88.19751529479,32.38200303861,19.883543
88.20612951804,32.39006309579,16.578781
88.19822127351,32.39153724697,18.640327
88.20058594743,32.39295079298,19.97411
88.23572705567,32.3777582014,19.620003
88.22680771469,32.37398017922,19.580128
88.22459093339,32.37531359767,19.519926
88.22675457328,32.38077848443,17.228397
88.22783623182,32.38187597196,16.255508
88.24189855287,32.37974985492,19.464327
88.24260874948,32.38193759387,19.559113
88.23302936976,32.38887312193,15.48853
88.23621520136,32.38885052855,19.154877
88.24310289285,32.39045057898,16.764273
88.25685284095,32.3892263068,15.588141
88.25846238583,32.39099913264,15.081125
88.27081604845,32.40196339593,13.709309
88.24988267705,32.39698848895,19.992092
88.24360333857,32.39967991138,18.272745
88.24358609784,32.39741847363,17.786015
88.25352676912,32.40152776736,17.296537
88.25137994206,32.40136407324,18.00271
88.25206174863,32.4038520893,18.949295
88.26690658028,32.40239663081,17.492954
88.26236080899,32.40490864102,18.763796
88.25725869269,32.40577117301,17.15184
