g,bp_rp
14.413009,1.353715
14.417216,1.0645628
14.42386,0.8282318
14.424442,0.66160107
14.429608,1.1177502
14.430439,0.6693592
14.440744,0.74137497
14.443228,0.96210384
14.446274,0.95067406
14.447319,1.0036087
14.448664,0.8294077
14.4538555,1.0861712
14.458993,0.9104576
14.459095,0.48186398
14.469049,1.3686762
14.469173,1.0526762
14.472016,0.59457684
14.474111,1.6218071
14.480453,1.2879581
14.48683,0.7304354
14.488,0.8694248
14.493857,1.130558
14.508725,1.6729374
14.509488,0.86989784
14.518031,0.6597862
14.525017,0.6660309
14.526312,0.6273308
14.526389,1.0251856
14.527408,0.9072981
14.529339,1.1853065
14.533637,0.95915794
14.55224,0.59487057
14.558643,1.4082384
14.559461,0.89036846
14.56047,0.9297209
14.56054,1.4347696
14.566604,1.2163916
14.577826,0.6742439
14.5835,1.3581886
14.584048,1.0497437
14.585561,1.0259924
14.588856,0.69023705
14.59168,0.9363241
14.604876,0.7110815
14.61057,0.8346205
14.614826,0.8417921
14.616637,1.4897947
14.617606,0.64121056
14.6202545,0.66493607
14.62123,1.2133627
14.625958,0.77511024
14.62659,0.6712723
14.627733,0.75954914
14.638471,0.75798416
14.641427,0.6817875
14.645097,0.6946726
14.647176,1.3532705
14.648882,1.095995
14.649111,0.68165016
14.651214,1.0377207
14.655427,0.6926203
14.658029,0.75389385
14.660797,0.7442303
14.681615,1.1061783
14.684791,1.2406998
14.688162,0.731802
14.690946,1.7026672
14.695793,0.6694622
14.701831,0.69434834
14.709791,1.1337624
14.711336,0.6797495
14.713561,1.103507
14.71428,0.9576473
14.716026,0.6715126
14.721153,1.3324728
14.735492,1.1494112
14.742974,0.62899303
14.747688,1.0830317
14.749804,1.3292847
14.750981,0.6892986
14.752564,1.1748877
14.752765,1.0669394
14.757439,1.0135651
14.758928,0.8211994
14.771671,1.5608053
14.772082,1.161622
14.775119,0.7648735
14.775764,0.716547
14.776971,1.0880289
14.782677,1.1626825
14.783679,1.1254892
14.785825,0.6428318
14.789904,1.1912708
14.790077,
14.790785,1.0689621
14.79157,1.5805464
14.799579,1.2405539
14.805831,0.8837576
14.808716,1.0099764
14.810276,1.0831451
14.812168,1.0298548
14.813799,0.990963
14.815269,0.82298374
14.823128,1.0415382
14.824201,0.90561676
14.8246565,1.0563478
14.825365,1.5640659
14.826196,0.97681236
14.833858,1.4800701
14.834769,1.1092339
14.845652,1.4023333
14.8457,0.8059721
14.846944,0.6468277
14.863528,0.6700077
14.870528,0.7816286
14.876071,1.5284815
14.881548,1.4781141
14.881558,1.6220503
14.882538,0.71119404
14.88472,1.1372461
14.888763,0.6693554
14.892444,0.6980543
14.8954525,0.95755196
14.899007,0.82932186
14.914847,0.6579628
14.918571,1.0124464
14.921399,0.9411125
14.921862,0.720315
14.92508,0.7134495
14.926503,0.9218073
14.927321,1.2222042
14.929385,0.6323662
14.933268,0.7565813
14.934295,1.1388025
14.935764,1.1558313
14.948725,0.86954784
14.949804,1.0921869
14.95671,0.8285055
14.962833,0.72227955
14.967319,0.65474033
14.970991,0.82153416
14.972155,0.9897566
14.974789,0.68132496
14.976619,0.7017975
14.976651,0.90145016
14.983752,1.1147289
14.986384,0.87717056
14.991862,1.1173916
15.001476,0.6631508
15.006633,0.7162609
15.008232,1.2306051
15.008655,0.8154526
15.010387,0.97348404
15.013744,0.7100086
15.015367,0.83127403
15.015918,1.1430893
15.019225,0.75766563
15.021118,0.6614456
15.022955,1.0396338
15.029064,1.5526133
15.029375,1.133481
15.029784,0.7330818
15.030225,1.5096684
15.032463,0.82055855
15.032576,1.4284554
15.032939,0.6620655
15.03995,0.7912092
15.044498,0.75223255
15.045676,0.8024483
15.046213,1.6268654
15.046574,2.4882212
15.046847,1.5399103
15.049937,1.0479221
15.0553,1.0204659
15.065694,0.691391
15.065832,1.1875105
15.070461,0.67522335
15.073734,1.0723724
15.076061,1.0178232
15.082365,0.7910633
15.085174,0.64958286
15.087585,1.293582
15.088541,0.7161875
15.092434,1.0242786
15.093803,0.6908722
15.102825,1.1336184
15.105025,1.1036711
15.106471,1.103837
15.107834,0.66915035
15.110758,1.0974112
15.115756,0.691905
15.117446,0.7008419
15.117539,1.6323395
15.118194,0.8373604
15.119788,0.8237791
15.12186,0.8399391
15.125605,1.3517466
15.127683,0.97570324
15.133688,1.1896896
15.137406,0.9845829
15.139416,1.1672077
15.14161,0.6886473
15.141769,0.78881645
15.142515,0.7689905
15.146451,0.9975462
15.147761,0.6865978
15.152523,0.73989296
15.1564245,1.7003202
15.157043,0.6671343
15.157727,0.81578255
15.158912,0.75185585
15.164496,1.4598379
15.166621,1.0201693
15.169536,0.64341354
15.173807,1.4925289
15.1796875,0.7292805
15.18249,0.98691845
15.186415,0.684
15.192194,0.6835041
15.201316,0.7256317
15.205766,0.77579784
15.213391,1.2610693
15.220402,0.7797699
15.223485,0.7132368
15.223985,1.149538
15.230887,0.66837025
15.236097,0.66548157
15.240793,1.1188049
15.247055,1.1065006
15.252892,0.98011494
15.255015,0.70792866
15.25621,1.3645935
15.256426,0.6623039
15.257481,1.0727606
15.263585,0.834507
15.266462,1.0968561
15.26726,0.7768812
15.269103,0.7051964
15.27111,1.160924
15.271589,1.133398
15.27433,0.74552345
15.275297,0.7315359
15.2763605,0.72002697
15.28477,0.8791094
15.296318,0.9480734
15.298092,1.7221231
15.299188,1.1732979
15.30123,0.80474186
15.3013115,1.2703161
15.3031025,1.3661308
15.304936,1.3950176
15.309076,1.2998276
15.310257,1.3689775
15.311253,0.94434834
15.315349,1.0748539
15.320122,0.7030926
15.321245,1.1985912
15.325407,0.68780804
15.329109,1.0528402
15.33187,0.75249577
15.332164,1.332017
15.333011,0.8085432
15.337523,0.813426
15.337799,0.7040138
15.33857,0.79816914
15.339133,1.2057581
15.344245,1.0210409
15.34676,0.77333736
15.346874,0.9873533
15.346926,0.673419
15.348659,0.7383137
15.350562,1.0859718
15.353319,1.2432194
15.353683,0.7285156
15.353912,
15.354068,1.3895588
15.359429,1.4436398
15.364153,0.75814056
15.364269,0.78437805
15.367536,0.7275362
15.36835,1.1012058
15.38021,0.9560547
15.382551,1.0431366
15.385238,1.0517664
15.385943,1.1004477
15.386152,1.2111597
15.388175,1.2148571
15.389107,0.782485
15.389762,1.437068
15.39095,1.451829
15.3929,1.3789663
15.393222,0.8069525
15.393738,1.1820879
15.3980875,1.5405083
15.3987055,1.0303316
15.399606,2.7804155
15.401009,0.8849745
15.402585,0.74420834
15.405105,1.1008444
15.409399,1.5698576
15.410027,1.0041037
15.410212,0.9105463
15.411596,1.2287359
15.4144335,0.7308569
15.41601,0.8805475
15.424971,1.1071825
15.426253,1.0145197
15.431288,1.2942352
15.43656,1.6763277
15.439336,1.3943176
15.444091,0.9835768
15.444373,1.0768728
15.44777,1.4227095
15.449713,1.0831366
15.449796,0.9783573
15.452005,1.1086912
15.453365,0.7540636
15.45628,0.9358196
15.460974,0.81660366
15.461042,0.73676777
15.461705,1.6435127
15.4656315,1.0251656
15.4682665,1.1832848
15.469954,1.1603823
15.4702,0.8257103
15.472147,0.82606316
15.481245,1.2356796
15.481427,0.71117115
15.482245,0.7084694
15.484696,1.0929813
15.486955,1.346839
15.48771,1.191143
15.491906,1.1630926
15.492844,0.71417046
15.494325,0.89906216
15.498361,0.7234497
15.499345,1.448966
15.499614,1.1480675
15.507574,0.77111244
15.5166445,0.768384
15.517662,1.8931046
15.524134,1.1546135
15.527527,1.0170183
15.528676,0.7687912
15.529089,0.98280716
15.531143,0.7737093
15.535351,1.5683537
15.539913,0.7175245
15.540768,1.0713215
15.542,1.4596968
15.544667,1.0741882
15.547371,0.7529745
15.551167,1.0201464
