ra,dec,g
190.06663454664,-11.71951119606,9.351787
189.93827270355,-11.6472991472,9.957937
189.86208586994,-11.66903582745,10.23873
190.03183763551,-11.46586415161,10.265523
189.94260450574,-11.52105627756,12.561496
189.91156671621,-11.64757985601,12.644518
189.95814569583,-11.50492233923,12.785289
190.08319956212,-11.64007071328,13.062194
190.00190386931,-11.59988860081,13.359464
189.86379087706,-11.55901128759,13.419825
189.99670623518,-11.45975265164,13.886116
190.11623877642,-11.53705547219,14.024941
189.9372774375,-11.58344453484,14.066419
189.93386626926,-11.49229723991,14.094308
189.89894253303,-11.63345701194,14.864988
189.95675924533,-11.50646851314,14.875972
190.00565604026,-11.6862096885,14.910848
190.01025672937,-11.49793667718,15.016824
189.95121952155,-11.71763881542,15.035939
190.13421998454,-11.69997363915,15.050045
190.08886323387,-11.48578750314,15.137535
189.96864344374,-11.53847818655,15.147911
190.01227861711,-11.77303738813,15.200065
189.92181594848,-11.53675908189,15.476038
189.92932888358,-11.58352538794,15.507362
190.00883064982,-11.65910995701,15.524618
189.8918573067,-11.57244652565,15.53309
189.96596193505,-11.5874997495,15.671843
189.84817192952,-11.63877400238,15.747221
189.84850884239,-11.55408253257,15.779627
190.01421510946,-11.72505472559,15.831896
189.99960421854,-11.51542144834,15.988686
189.94255561365,-11.69395246092,16.024965
190.00434947416,-11.50579929291,16.036776
189.90891585989,-11.66911143468,16.048069
190.01200894761,-11.71667865958,16.073748
190.01230638566,-11.68343833596,16.117573
189.87957485542,-11.55842173154,16.138319
189.99762604243,-11.62305229578,16.155354
190.08792033485,-11.56541701884,16.210226
189.98338827367,-11.47967129102,16.220417
189.97929484381,-11.78407742811,16.268167
189.98248522421,-11.47908290987,16.294281
189.8718208901,-11.676309578,16.35666
189.94178793752,-11.62792452931,16.366415
190.02487219791,-11.66114720607,16.513859
189.97947244508,-11.60254489259,16.52441
190.13875068166,-11.64767045335,16.613333
190.01074689711,-11.67005412063,16.617641
190.11563965066,-11.66559728183,16.636433
190.10750618326,-11.74616691613,16.6414
189.99258245081,-11.64293522459,16.6524
190.00858017154,-11.60211672306,16.658411
189.94416526135,-11.71743518902,16.660875
189.96487960771,-11.59934117403,16.672997
189.91419818101,-11.50556068229,16.697765
190.15711792293,-11.61342507428,16.728025
189.93671990744,-11.66799971999,16.769636
189.98116616575,-11.70700038143,16.815363
189.97061735249,-11.74683284087,16.842089
190.14876455372,-11.55259088651,16.874628
189.86076447172,-11.65803394741,16.897392
189.91645914761,-11.56497971203,16.988287
190.11473892381,-11.55092522027,17.003935
190.10383433069,-11.52561218398,17.027613
189.86820975493,-11.58124299843,17.030521
190.04782709855,-11.64643040302,17.135515
190.07683535826,-11.48669310456,17.184696
190.09731320047,-11.57297839511,17.18551
189.96426763975,-11.57250027953,17.231308
190.04803970524,-11.5935619064,17.242771
189.97546797194,-11.69520659823,17.268246
190.06256099899,-11.66306201708,17.288652
190.05068693082,-11.57188210561,17.345001
189.93203213507,-11.64827827018,17.374811
189.99559401068,-11.69061408159,17.410955
190.10604669092,-11.63137608037,17.411585
189.92756865771,-11.70412892533,17.461472
189.92579945105,-11.62126773111,17.463772
190.01798444458,-11.48009224658,17.502079
190.10526414656,-11.64485128068,17.545965
189.93060310525,-11.5596635919,17.575466
189.89444472878,-11.49870519289,17.597948
189.99296316292,-11.55217034041,17.663559
189.92930986053,-11.51428870279,17.671576
190.10530173865,-11.512505464,17.701115
189.91298797135,-11.54656354871,17.71174
189.88118839101,-11.5204892631,17.733263
189.99838428355,-11.45942604885,17.745382
190.13833978937,-11.61021225784,17.774637
189.88327602257,-11.56061262001,17.781784
189.87775703784,-11.56731899964,17.79462
189.99189331598,-11.49174917327,17.801218
189.87737881326,-11.54371744903,17.817162
189.95125178407,-11.66273966356,17.829947
190.15944815264,-11.6103769285,17.831064
190.07888416006,-11.67555664061,17.875328
190.01212047216,-11.73488356477,17.878897
189.9475518273,-11.57286239598,17.88956
189.95902677761,-11.67940491558,17.897224
189.84213679595,-11.6736180614,17.898335
189.98055898634,-11.76955423207,17.92867
190.15038616714,-11.64769530952,17.991804
189.91414808924,-11.65230969602,18.043055
189.94208345582,-11.63862170252,18.07194
190.00500114377,-11.64500602808,18.10674
190.00797000599,-11.7165997305,18.187063
189.88808603723,-11.68169794603,18.189207
189.91218457322,-11.63201390105,18.219212
189.93281513401,-11.50848917327,18.223923
190.06829086158,-11.75014901745,18.235153
190.10203948167,-11.68630668917,18.248575
189.87552234825,-11.51843307111,18.255653
189.95647682942,-11.53940163444,18.280958
189.93849788513,-11.56506349119,18.296062
189.92944085106,-11.68972801179,18.308685
189.92025356539,-11.51035682223,18.312233
190.00015130485,-11.54697120223,18.329824
189.91837610839,-11.57030574183,18.330168
190.1394319812,-11.54555020668,18.358927
190.15907285435,-11.60335800144,18.39636
190.05529954092,-11.69179863584,18.466665
189.97452813242,-11.49082597475,18.490366
190.05740676363,-11.67678866786,18.505028
190.06182518975,-11.57230442142,18.51167
189.92190589259,-11.49495906939,18.521465
189.96239814653,-11.71270385467,18.52821
189.84467578717,-11.66483669101,18.537947
189.92137100207,-11.48425093141,18.561054
189.97761409735,-11.6628111481,18.572264
190.05828266276,-11.69594085557,18.600569
190.02138714873,-11.63372528804,18.606258
189.91622870096,-11.53661169877,18.623045
189.93209105234,-11.59354332324,18.640854
189.95976624904,-11.73045522517,18.655403
189.94170920769,-11.72469588683,18.661024
190.15741955534,-11.65795677889,18.661844
190.01309702301,-11.66789883653,18.677338
190.009239771,-11.5540046253,18.679182
190.05655691871,-11.61727699791,18.681957
190.01285738574,-11.66656190317,18.685911
189.96739979097,-11.66603925831,18.69376
190.07852748738,-11.73460729288,18.695223
189.86191901356,-11.56174225149,18.726227
190.00989513104,-11.49369572926,18.7271
190.11933561397,-11.54022721194,18.736109
190.04510571853,-11.5496204541,18.741632
189.97469891216,-11.49527301983,18.77909
190.04461562539,-11.63515917149,18.783295
190.01261590595,-11.68634142888,18.786222
189.96954290257,-11.64307042133,18.80091
189.8735840497,-11.61794867103,18.804089
189.98546457354,-11.7132939356,18.812397
190.03879408756,-11.71158951979,18.816193
190.14984220589,-11.56518054907,18.848953
189.85834511907,-11.71099269015,18.856075
189.9120648396,-11.62436446471,18.866175
189.87150511858,-11.64193886905,18.8709
189.90358011478,-11.585337855,18.872505
190.11538377938,-11.60626907035,18.873598
190.08523076885,-11.60246095301,18.876972
189.88095475931,-11.60602899042,18.885992
190.03964453503,-11.62603264889,18.889454
189.93403460972,-11.54059115879,18.90929
189.94495419829,-11.77058953529,18.913397
189.97565937995,-11.69509821606,18.921276
190.12140618737,-11.66530552899,18.929583
189.94901224542,-11.49044729547,18.936913
189.86263015556,-11.54636916177,18.947073
189.90426512941,-11.74335231215,18.947517
190.14133013975,-11.6599681023,18.962408
190.02979458181,-11.73785308071,18.976788
189.9292936299,-11.64217850221,19.010868
189.94010570735,-11.61578154089,19.036469
190.03563583593,-11.65140368609,19.036592
190.07396000081,-11.59160917558,19.044628
190.01034953856,-11.78601439637,19.04471
189.91472793499,-11.56532262051,19.142954
189.91238358929,-11.50526363287,19.151815
189.83965133277,-11.62261428698,19.153591
189.91245189656,-11.59140412879,19.161098
189.95602960496,-11.55230117985,19.162106
189.90267619698,-11.56166899467,19.174377
190.05627248459,-11.56908598264,19.18106
190.11422130547,-11.52279640183,19.195698
189.92098126604,-11.62074882165,19.196917
190.04110519699,-11.48474499792,19.20671
189.83688802395,-11.63511253746,19.219343
190.08342953352,-11.71566639297,19.223585
190.09656304004,-11.51584149223,19.236341
189.98340809865,-11.46042905796,19.241798
189.94955056297,-11.51822814888,19.253551
189.92090609255,-11.58189959505,19.263123
190.13589890256,-11.62616716921,19.269857
190.08819063669,-11.56217131499,19.271194
190.06549636062,-11.76410600138,19.275885
190.00206640476,-11.47113054415,19.276072
189.87656270057,-11.55182275773,19.277672
189.85286577096,-11.61409355502,19.283442
190.00143799847,-11.62316469239,19.293839
189.89850883524,-11.636177379,19.296507
190.04168711352,-11.63915907536,19.30013
190.03898480906,-11.64229996209,19.30911
190.02066606495,-11.58388301491,19.322638
189.90070394613,-11.66958875051,19.327915
190.07010494552,-11.65542451112,19.332554
190.06060047384,-11.53981497957,19.350555
190.08370624205,-11.58861785204,19.351616
190.15270861287,-11.66835275106,19.35757
189.84112065596,-11.59185377938,19.368177
189.93130425722,-11.60452757327,19.3804
190.05359787259,-11.52645757505,19.380863
189.98449315261,-11.53193380152,19.424326
189.95743517131,-11.61727726367,19.447569
189.8643901849,-11.6348877514,19.463434
190.15222140714,-11.66444440826,19.478401
189.93552530579,-11.64085012295,19.478962
190.0433366625,-11.61077257069,19.493433
190.12042080957,-11.61054516749,19.497215
190.0002183891,-11.6026095942,19.508581
190.00140029232,-11.70747469778,19.509497
189.95778496689,-11.78271417735,19.520922
190.03974091517,-11.6098370421,19.535366
190.06279820215,-11.551602034,19.543491
190.02032693385,-11.73402785621,19.546751
189.90584385933,-11.6994675086,19.560694
189.86469652843,-11.59972514629,19.566511
190.09396205569,-11.70174896302,19.572744
190.04407863607,-11.48621539311,19.577478
190.06105494194,-11.58275240012,19.58634
190.06064764715,-11.6411847001,19.58758
189.99404907794,-11.70922455453,19.606524
189.98249267315,-11.58017707998,19.608654
189.93435326864,-11.48317779901,19.612509
190.09163370654,-11.60547910434,19.614714
189.952436045,-11.59469031436,19.616472
190.08126320976,-11.7569145346,19.63132
190.08915912211,-11.59010618467,19.651371
189.9806361417,-11.51683489176,19.667015
189.90719945666,-11.67526970813,19.669308
189.96639469147,-11.60417918784,19.694733
189.93857034953,-11.60020931599,19.707521
190.04955585537,-11.74793794926,19.71043
190.00049654803,-11.54110764114,19.712404
189.94501111792,-11.47787267256,19.716774
190.11578075666,-11.70693026751,19.724321
190.05138885273,-11.49041299508,19.725506
189.85989671084,-11.61151932343,19.728844
190.00150716737,-11.61616185181,19.7347
190.0829348452,-11.61147867311,19.737982
190.01715841281,-11.47246916802,19.742577
189.99940446782,-11.782004212,19.766027
189.9586868216,-11.64144028458,19.767702
190.0374021623,-11.56415053795,19.772177
190.06365581031,-11.67027237639,19.774788
189.95104726777,-11.74297788125,19.779486
190.03825288899,-11.55786097257,19.784649
189.98321580056,-11.66531525441,19.787773
190.0315193013,-11.66424466785,19.79188
190.11145368048,-11.72168252567,19.794325
189.98993420877,-11.52370387974,19.82143
189.99706233264,-11.7349163268,19.82603
189.8362043755,-11.66165459533,19.82765
190.05650209814,-11.63356368793,19.831663
189.99079463741,-11.60257142846,19.842138
190.15664853514,-11.67638884432,19.842754
190.10854253798,-11.56586408725,19.855375
190.02884988526,-11.74208413873,19.861109
190.00935295,-11.63377978738,19.86363
190.13127049182,-11.57580657175,19.86365
190.00662138708,-11.48130022282,19.864109
189.92470871155,-11.6409362057,19.868923
189.99241727605,-11.6195003667,19.870712
189.94736254708,-11.48595641355,19.871515
189.99445686668,-11.709229441,19.873169
190.05365792588,-11.62015699232,19.87893
189.91253522528,-11.55469687464,19.900225
189.9047917905,-11.49314385551,19.90102
189.85534432113,-11.55933156496,19.903894
189.89345425292,-11.61523636382,19.915369
189.90049378669,-11.67665899779,19.932219
190.09901261156,-11.70393734509,19.960281
189.90356101075,-11.75532916822,19.96259
190.04901701409,-11.555260796,19.964746
190.06085571144,-11.53215139339,19.967442
190.00222153229,-11.74897023306,19.975351
190.00488585516,-11.52167114841,19.976948
189.99143323933,-11.62240447913,19.97739
190.08274573844,-11.6294838018,19.980257
190.06448996693,-11.68383931742,19.981771
189.94277673475,-11.53234156083,19.984514
190.07923309519,-11.68044810697,19.994389
190.1231115696,-11.57588896313,19.997297
