ra,dec,g
100.89430048901,26.93871100617,19.12931
100.89855385862,26.94254100328,18.311157
100.90145965261,26.94315017859,17.36231
100.90228573006,26.9462080887,15.237463
100.90640488137,26.94919760518,18.92479
100.87181520124,26.92707550377,17.007055
100.86047048945,26.92838626657,18.317049
100.8544369437,26.93044228956,18.888262
100.8595250652,26.93387537986,19.412352
100.84981007807,26.93145773059,19.456408
100.85604083979,26.93700078563,18.934155
100.85637995673,26.93765260022,13.129739
100.85896872547,26.93979489365,18.499811
100.85790228957,26.93858538163,16.205774
100.85410266402,26.93950386963,17.965122
100.87697398147,26.92897643827,18.630402
100.87669604284,26.9327724803,19.772614
100.88163737643,26.93224025366,16.076794
100.88352430636,26.93253913593,14.309149
100.87695834234,26.93581281424,15.565873
100.87935107253,26.94143929146,19.364948
100.87409015752,26.93864349946,16.38536
100.87329212992,26.93864489914,14.922258
100.88760460509,26.9354805301,16.3316
100.88614660799,26.93556833961,18.962126
100.88734905062,26.94328329324,17.426064
100.88135420952,26.94076503915,16.334631
100.8804450767,26.94272181354,13.420692
100.88805236164,26.95284133982,17.116589
100.86495647464,26.94410439792,16.520027
100.85598651134,26.94381775127,16.184664
100.85723406385,26.94587110191,18.089579
100.86003240893,26.94510265034,16.402575
100.86951573522,26.94878070817,19.749485
100.86294286383,26.94887177053,15.088439
100.87558804385,26.94811816125,17.821934
100.87605768088,26.95097429667,18.65451
100.86966682827,26.95106675221,14.278505
100.87065696501,26.95411228952,17.342697
100.87355782269,26.95488037351,18.349642
100.86685924347,26.95574304417,18.963194
100.87564683732,26.95707821525,18.385267
100.87751185586,26.96130890298,13.912983
100.8401011506,26.93161370286,17.894642
100.84017587225,26.93200209548,14.91917
100.8357552644,26.93338694667,15.185935
100.8434275972,26.93854637933,14.168224
100.84602646044,26.93869952835,14.663971
100.83849354564,26.93921394765,14.262907
100.85084180703,26.9453552366,18.229324
100.84818763962,26.94466700147,17.268179
100.84861011457,26.94438379121,15.223375
100.84915158461,26.9463747177,18.768614
100.84229249322,26.94831861039,17.03788
100.82255794651,26.94062572297,18.6555
100.82880015244,26.94324982242,19.153183
100.82979929265,26.94404006534,14.86136
100.82701647608,26.94449689261,17.340057
100.81696486142,26.9464832254,16.236462
100.82384244622,26.94672943572,14.686173
100.82014423983,26.9479487746,17.229439
100.81957502409,26.95139994337,10.815172
100.83385487265,26.95032083979,14.744255
100.83569940696,26.95122258186,13.942881
100.8306032647,26.95276246689,17.543766
100.83774510652,26.9519083326,19.209227
100.83649971386,26.95133194128,19.490625
100.83483835139,26.95283762666,18.44508
100.83917831997,26.95630279589,17.022184
100.82718772879,26.95061586045,15.25484
100.82972439416,26.95335426737,18.822481
100.82777011937,26.95483358057,19.091381
100.8267733453,26.95476025548,18.64061
100.82615252723,26.95666250297,19.82718
100.834314437,26.95896079705,10.192246
100.8348790235,26.95910550177,14.35095
100.83411370949,26.95934895453,13.475252
100.82982116498,26.95910512179,15.994856
100.83251880089,26.9617356429,16.691692
100.83157295904,26.96260402009,18.363512
100.85504488132,26.9456610449,14.581039
100.85514107323,26.94825215192,15.502223
100.85369374596,26.95018389407,19.608404
100.85722919568,26.9544570347,14.858756
100.84831990416,26.95378995887,17.365454
100.8536636056,26.95492656622,18.244503
100.85048972863,26.95545289298,19.923504
100.85442499466,26.95856774197,18.470001
100.85853426696,26.95964712807,13.511467
100.85610251479,26.96369005785,12.429388
