g,bp_rp
8.844351,0.6519623
9.153716,1.341095
9.165517,1.1730614
9.597649,-0.10493946
10.160761,0.39987373
10.1922455,1.5381632
10.30003,2.246396
10.390672,0.9147053
10.499953,0.5916004
10.815172,1.193737
10.856834,0.764143
11.016686,1.149972
11.104206,0.61082554
11.159598,1.1048775
11.512782,1.349514
11.780471,1.1795073
11.844459,1.4820776
11.854273,0.44751644
12.001717,0.6701565
12.063063,1.3225994
12.075964,0.7418604
12.129069,1.2753973
12.18694,0.85875034
12.197561,1.5235825
12.221844,1.2478428
12.277148,1.4680777
12.281864,0.7521925
12.303046,1.3240223
12.318557,1.4545536
12.334904,1.4740314
12.340581,1.361906
12.395576,1.6311159
12.42771,1.3980274
12.429388,1.5887213
12.453357,0.89703083
12.467353,1.104598
12.47848,1.2117491
12.518878,0.77453136
12.606245,1.2109194
12.621806,1.3410006
12.6218815,0.57285976
12.644014,0.674263
12.674054,0.79157925
12.699081,0.6741257
12.702559,1.1960135
12.753639,0.80277634
12.778001,0.16139889
12.79794,1.2472124
12.814141,1.3191309
12.824278,1.1152935
12.844346,1.2719717
12.846132,1.1742373
12.861056,1.189477
12.892433,0.67285347
12.911203,0.77978706
12.9152,0.6563778
12.956787,1.0447311
12.978946,1.3109322
12.995062,0.6100178
12.996524,1.3923635
13.024041,
13.037648,0.96134186
13.0454645,1.1700287
13.063349,0.78851795
13.122463,1.0884333
13.129739,0.7933359
13.132931,1.2472744
13.141364,0.77297974
13.142974,1.1656675
13.157303,1.2452812
13.173823,1.1764708
13.188934,0.7874298
13.226004,2.3158274
13.226527,1.2287846
13.230364,1.2308645
13.234445,1.147603
13.246811,0.6302109
13.25295,0.6302004
13.260308,1.160429
13.272386,1.3128853
13.290384,0.8435888
13.3074045,0.3677826
13.308282,0.73071575
13.313211,0.48047447
13.321407,0.116724014
13.341264,0.79405594
13.369294,0.7111254
13.376942,1.1464577
13.389943,1.2242699
13.402926,1.159378
13.413448,0.7711935
13.417709,1.282835
13.4206085,0.46422577
13.420692,1.2036943
13.421502,1.2783613
13.438254,1.3457737
13.449115,1.0948915
13.450182,1.5005045
13.456466,1.1718082
13.46984,0.66842175
13.475111,1.152852
13.475252,
13.476887,1.3412027
13.511467,0.4422922
13.516451,0.9326296
13.517208,0.28067303
13.520771,1.2008619
13.527596,1.1691875
13.529694,1.277811
13.538626,0.082632065
13.54138,0.5391865
13.545684,1.143116
13.546189,1.1385336
13.562934,0.24957657
13.582961,0.7778082
13.593757,0.50293446
13.59851,0.9643774
13.602519,1.1537046
13.606306,0.64584255
13.626452,0.20392323
13.631615,0.32551098
13.641886,0.4729786
13.648799,0.38001823
13.653396,0.79193306
13.666701,1.1897602
13.685956,0.77694607
13.695065,0.782444
13.71261,0.5522671
13.732436,1.1582756
13.733406,0.4238472
13.738105,0.5246191
13.745052,1.2412119
13.75306,1.6438017
13.761482,1.2015057
13.762374,0.6235657
13.774165,1.2094078
13.798736,0.7805309
13.805115,0.27578545
13.808338,0.86642265
13.817804,1.2061596
13.819267,1.1738615
13.826427,0.93562317
13.835922,0.8807545
13.84161,1.2128334
13.845408,0.8631506
13.8496275,1.2772884
13.850598,0.9258089
13.861406,0.24359035
13.870996,0.7951145
13.873628,0.33201504
13.878097,0.8100052
13.894376,1.2699842
13.897626,0.8558769
13.899455,0.75943756
