ra,dec,g
85.40995438195363,-2.259021654520903,7.7644157
85.44605146865901,-2.2772187158949273,11.552664
85.451311334379,-2.178005381605272,11.754166
85.3665595136791,-2.3279328000767983,12.566968
85.42958880070691,-2.1739851491225552,12.995085
85.41787878569225,-2.2665756969333173,14.401155
85.36809116095525,-2.233248378628003,15.732992
85.48094130809879,-2.22901480595016,15.81055
85.3946970443,-2.290049791052844,15.865364
85.40164828980515,-2.2795213434837085,16.055164
85.42952905796439,-2.2944007686991457,16.128365
85.45526145621774,-2.3257575163947934,16.536118
85.4846700019057,-2.212744535317066,16.566298
85.42610140082911,-2.2933252303465137,16.580584
85.33162773355198,-2.213321569716803,16.835455
85.43437669751258,-2.271270513226733,16.870968
85.49406778048629,-2.2891591040576893,16.89946
85.43431555523044,-2.2687925803916036,17.07318
85.43762817265348,-2.2667421921819058,17.167686
85.3820749612531,-2.1727451737130252,17.198515
85.43620658494085,-2.2823959190428496,17.922455
85.46930440413458,-2.271445099138367,18.06108
85.41997036701879,-2.358755874778899,18.170729
85.4229656492787,-2.2621841344342246,18.258923
85.46038692988944,-2.334840942272379,18.392488
85.4971273389556,-2.284076448679465,18.430803
85.4552603837135,-2.325986923766161,18.621927
85.46803397162981,-2.3090704535497326,18.8087
85.39948519028974,-2.1836904399596855,19.448128
85.42661082172737,-2.289293526993452,19.81824
85.33466690386602,-2.230834815396501,19.943573
