Vendor;Model;Optics;D (mm);D (inch);FL (mm);f/Ratio;Mag;"DL ("")";Min;Max;FF (°)
Meade;"StarFinder 12.5""";Newtonian;318;12,5;1525;4,8;15,2;0,4;42x;505x;5
Meade;"StarFinder 16""";Newtonian;406;16;1830;4,5;15,7;0,3;54x;644x;5
Meade;StarNavigator 102mm;Refractor;102;4;800;7,8;12,7;1,1;14x;162x;
Meade;StarNavigator 90mm;Refractor;90;3,5;800;8,9;12,5;1,3;12x;143x;
Obsession;"12.5"" f/5";Newtonian;317,5;12,5;1588;5;15,2;0,4;42x;504x;
Obsession;"15"" f/4.5";Newtonian;381;15;1715;4,5;15,6;0,3;51x;605x;
Obsession;"18"" f/4.5";Newtonian;457;18;2057;4,5;16,0;0,3;61x;725x;
Obsession;"20"" f/4";Newtonian;508;20;2032;4;16,2;0,2;68x;806x;
Obsession;"20"" f/5";Newtonian;508;20;2540;5;16,2;0,2;68x;806x;
Obsession;"25"" f/4";Newtonian;635;25;2540;4;16,7;0,18;85x;1008x;
Obsession;"25"" f/5";Newtonian;635;25;3175;5;16,7;0,18;85x;1008x;
Obsession;"30"" f/4.5";Newtonian;762;30;3429;4,5;17,1;0,15;102x;1210x;
Obsession;"30"" f/5";Newtonian;762;30;3810;5;17,1;0,15;102x;1210x;
Obsession;"36"" f/4.5";Newtonian;914;36;4115;4,5;17,5;0,13;122x;1451x;
Obsession;"36"" f/5";Newtonian;914;36;4572;5;17,5;0,13;122x;1451x;
Obsession;"UC 15""";Newtonian;381;15;1600;4,2;15,6;0,3;51x;605x;
Obsession;"UC 18""";Newtonian;457;18;1905;4,2;16,0;0,3;61x;725x;
Obsession;"UC 22""";Newtonian;559;22;2337;4,2;16,4;0,2;75x;887x;
Officina Stellare;Hiper APO 105;Refractor;105;4,1;650;6,2;12,8;1,1;14x;167x;
Officina Stellare;Hiper APO 115;Refractor;115;4,5;805;7;13,0;1,0;15x;183x;
Officina Stellare;Hiper APO 130;Refractor;130;5,1;780;6;13,3;0,9;17x;206x;
Officina Stellare;Hiper APO 152;Refractor;152;6;1200;7,9;13,6;0,8;20x;241x;
Officina Stellare;Hiper APO 180;Refractor;180;7,1;1260;7;14,0;0,6;24x;286x;
Officina Stellare;Hiper APO 80;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Officina Stellare;Pro RC 250;Ritchey-Chretien;250;9,8;2000;8;14,7;0,5;33x;397x;
Officina Stellare;Pro RC 320;Ritchey-Chretien;320;12,6;2560;8;15,2;0,4;43x;508x;
Officina Stellare;Pro RC 360;Ritchey-Chretien;360;14,2;2880;8;15,5;0,3;48x;571x;
Officina Stellare;Pro RC 400;Ritchey-Chretien;400;15,7;3200;8;15,7;0,3;53x;635x;
Officina Stellare;Pro RC 500;Ritchey-Chretien;500;19,7;4000;8;16,2;0,2;67x;794x;
Officina Stellare;Pro RC 600;Ritchey-Chretien;600;23,6;4800;8;16,6;0,19;80x;952x;
Officina Stellare;Supremo 250;Mak-Cassegrain;250;9,8;3125;12,5;14,7;0,5;33x;397x;
Officina Stellare;Ultra CRC 320;Ritchey-Chretien;312;12,3;1680;5,4;15,2;0,4;42x;495x;
Officina Stellare;Veloce RH 200;Ritchey-Chretien;200;7,9;600;3;14,2;0,6;27x;317x;
Officina Stellare;Veloce RH 300;Ritchey-Chretien;300;11,8;900;3;15,1;0,4;40x;476x;
Orion;"10"" f/3.9 Newtonian Astrograph";Newtonian;254;10;1000;3,9;14,7;0,5;34x;403x;
Orion;"10"" f/8 Ritchey-Chretien Astrograph";Ritchey-Chretien;250;9,8;2000;8;14,7;0,5;33x;397x;
Orion;100mm ED Apo Refractor;Refractor;100;3,9;900;9;12,7;1,2;13x;159x;
Orion;102ED;Refractor;102;4;714;7;12,7;1,1;14x;162x;
Orion;180mm Maksutov-Cassegrain;Mak-Cassegrain;180;7,1;2700;15;14,0;0,6;24x;286x;
Orion;"4.5"" Imaging Reflector";Newtonian;113;4,4;450;4;13,0;1,0;15x;179x;
Orion;"6"" f/9 Ritchey-Chretien Astrograph";Ritchey-Chretien;150;5,9;1369.9;9,1;13,6;0,8;20x;238x;
Orion;"6"" Imaging Reflector";Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;"8"" f/3.9 Newtonian Astrograph";Newtonian;203;8;800;3,9;14,2;0,6;27x;322x;
Orion;"8"" f/8 Ritchey-Chretien Astrograph";Ritchey-Chretien;200;7,9;1600;8;14,2;0,6;27x;317x;
Orion;80mm ED Apo Refractor;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
Orion;Apex 102mm Compact Mak;Mak-Cassegrain;102;4;1300;12,7;12,7;1,1;14x;162x;
Orion;Apex 127mm Compact Mak;Mak-Cassegrain;127;5;1540;12,1;13,2;0,9;17x;202x;
Orion;Apex 90mm Compact Mak;Mak-Cassegrain;90;3,5;1250;13,9;12,5;1,3;12x;143x;
Orion;"Argonaut 6"" GP-DX Mak-Newt";Mak-Newtonian;150;5,9;900;6;13,6;0,8;20x;238x;
Orion;Astroview 100 EQ Refractor;Refractor;100;3,9;600;6;12,7;1,2;13x;159x;
Orion;Astroview 120 EQ Refractor;Refractor;120;4,7;1000;8,3;13,1;1,0;16x;190x;
Orion;Astroview 120ST EQ Refractor;Refractor;120;4,7;600;5;13,1;1,0;16x;190x;
Orion;Astroview 6 EQ Reflector;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;Astroview 80 EQ Refractor;Refractor;80;3,1;910;11,4;12,2;1,4;11x;127x;
Orion;Astroview 90 EQ Refractor;Refractor;90;3,5;910;10,1;12,5;1,3;12x;143x;
Orion;Atlas 10 EQ;Newtonian;254;10;1200;4,7;14,7;0,5;34x;403x;
Orion;Atlas 10 EQ-G;Newtonian;254;10;1200;4,7;14,7;0,5;34x;403x;
Orion;Atlas 11 XLT SCT;Schmidt-Cassegrain;279;11;2800;10;14,9;0,4;37x;443x;
Orion;ED114SS Refractor;Refractor;114;4,5;604;5,3;13,0;1,0;15x;181x;
Orion;ED80 80mm f/7.5 APO Refractor;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
Orion;ED80T APO Refractor;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Orion;EON 110mm ED f/6.0 APO;Refractor;110;4,3;660;6;12,9;1,1;15x;175x;
Orion;EON 130mm ED Triplet APO;Refractor;130;5,1;910;7;13,3;0,9;17x;206x;
Orion;Explorer 80mm Altaz Refractor;Refractor;80;3,1;910;11,4;12,2;1,4;11x;127x;
Orion;Explorer 90mm Altaz Refractor;Refractor;90;3,5;910;10,1;12,5;1,3;12x;143x;
Orion;Express 80mm Rich-Field;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
Orion;FunScope;Newtonian;76;3;300;3,9;12,1;1,5;10x;121x;
Orion;GoScope 80mm;Refractor;80;3,1;350;4,4;12,2;1,4;11x;127x;
Orion;GoScope 80mm Backpack;Refractor;80;3,1;400;5;12,2;1,4;11x;127x;
Orion;GoScope II 70mm;Refractor;70;2,8;400;5,7;11,9;1,7;9x;111x;
Orion;Observer 60;Refractor;60;2,4;700;11,7;11,6;1,9;8x;95x;
Orion;Observer 70;Refractor;70;2,8;700;10;11,9;1,7;9x;111x;
Orion;Observer 90;Refractor;90;3,5;910;10,1;12,5;1,3;12x;143x;
Orion;Premium 190mm f/5.3 Mak-Newt Astrograph;Mak-Newtonian;190;7,5;1000;5,3;14,1;0,6;25x;302x;
