ra,dec,phot_g_mean_mag,bp_rp
250.2081161685053,36.30236979955721,15.224938,0.95423126
250.35421198256472,36.289658488673396,14.586034,0.7870064
250.3267782035556,36.33859646356115,18.408615,0.67279625
250.37537044042367,36.35617312170152,18.349213,0.6365757
250.35482985436582,36.3621534578751,15.428479,1.0004997
250.2522339008911,36.309379477219785,17.203062,2.5813332
250.2859670088424,36.33573457701853,16.03677,0.9626341
250.3151082850761,36.33390703188021,18.009045,0.7660446
250.33100886702232,36.37206721661626,18.401197,0.6289139
250.34216316556436,36.37884972377081,16.412735,-0.1555233
250.33475770676515,36.39926390772771,18.377825,0.6354885
250.27965761621329,36.382432876012835,18.19651,0.66651535
250.2913941536512,36.39483287921285,17.8595,0.7109566
250.49489705769653,36.23930170796813,17.696474,0.7959652
250.52336250494176,36.27219680338463,15.93815,1.2548456
250.5604964996846,36.26560479956172,17.052092,1.854042
250.62730402482978,36.330892972217804,14.994934,1.0462599
250.654413752172,36.36122151365314,17.053091,1.0904064
250.62918103650557,36.382914620383694,18.211636,0.6674175
250.70034706222896,36.4166560913989,16.661417,0.94073105
250.47584373731007,36.259875448046834,17.70397,0.79658127
250.51997206709984,36.27824192035007,16.112972,0.7995615
250.54888853533004,36.345925945710896,15.654953,1.3422127
250.50867925587525,36.348661587597256,17.549936,0.8532829
250.5334316046617,36.37133773257388,18.307795,0.59285927
250.45168216227947,36.33646700296044,18.199242,0.6624985
250.41749214646336,36.330438643652386,17.909927,0.7030678
250.4268541585638,36.35753669630582,18.14786,0.65353775
250.49398957979784,36.36457308260542,18.444626,0.6371727
250.5035049910445,36.39267632662786,12.516562,1.3288116
250.47380845140694,36.36383513794747,17.89764,0.71710396
250.48427641039038,36.3765951201078,17.129248,0.8864498
250.46117883316447,36.39431503169704,18.262972,0.71499634
250.46272633005177,36.38648182525369,16.943354,0.8890209
250.4908751181025,36.3884402889271,17.934765,0.68829155
250.48595772298648,36.39456647883671,18.026573,0.66985893
250.4995515815161,36.40942146211848,18.358809,0.67251587
250.47574300055314,36.409221990895965,18.377274,0.90278625
250.57088005437788,36.371148208183,18.022573,0.68230057
250.59713658009645,36.38368182794549,17.78167,0.75302315
250.5621464192349,36.392561415294075,17.916462,0.72437096
250.56801559296545,36.39290919285911,17.676794,0.8226948
250.57779800719237,36.4144302298706,17.782598,0.77697754
250.52439387132077,36.40655728991939,18.171268,
250.56491820308702,36.415358352510665,17.900955,0.7144966
250.52799320131265,36.427808163066366,18.227468,0.65504265
250.49621072037655,36.42425138499439,17.819876,0.7414017
250.54027139482224,36.435617188527985,17.74699,0.7546272
250.5299222526354,36.459974984279036,18.220707,0.67396164
250.42568589384382,36.366107727687904,18.327969,0.60222435
250.42507507737494,36.37189249118772,18.260439,0.6703758
250.44147020270955,36.37623414909369,18.241766,0.62210655
250.38523903544203,36.383126690104106,16.234343,-0.17098236
250.41203819862082,36.39156507674398,17.988384,0.69104576
250.41283156990673,36.40883660345179,17.861229,0.6972275
250.41831854437402,36.39971322183528,16.567291,0.91052914
250.40740287726203,36.39847323146412,15.449718,-0.019647598
250.386122368754,36.39482392551884,17.636383,0.7932453
250.38578309484706,36.40527719949269,18.339668,0.7029648
250.40397183131677,36.41615338136415,17.132568,0.8961277
250.40280486711666,36.40430570435076,18.105211,0.63736343
250.40384479933792,36.40800819268556,17.763853,
250.40434425699425,36.409339947461255,18.171282,
250.39892142083184,36.40958919905079,17.686522,0.81380844
250.4006748825477,36.42050191519743,18.043653,0.96240234
250.40044202043103,36.416178332152946,18.29546,0.62189674
250.44305508973883,36.39496180082793,16.88772,0.90216064
