nombre,png,log_fhb,i5007,i6563,i4686
NGC2867,278.1-05.9,-10.58,1460.0,384.0,29.0
NGC2899,277.1-03.8,-11.35,759.0,340.0,48.0
NGC3132,272.1+12.3,-10.45,1021.0,319.0,5.0
NGC3195,296.6-20.0,-11.06,755.0,377.0,21.0
NGC3211,286.3-04.8,-11.06,1674.0,363.0,80.0
NGC3242,261.0+32.0,-9.79,698.0,352.0,17.0
NGC3587,148.4+57.0,-10.42,,,
NGC3699,292.6+01.2,-11.21,1790.0,452.0,49.0
NGC3918,294.6+04.7,-10.04,1667.0,374.0,16.0
NGC4071,298.3-04.8,-11.66,786.0,294.0,63.0
NGC4361,294.1+43.6,-10.53,275.0,323.0,112.0
NGC5189,307.2-03.4,-10.52,1428.0,350.0,55.0
NGC5307,312.3+10.5,-11.18,1378.0,437.0,44.0
NGC5315,309.1-04.3,-10.42,840.0,369.0,
NGC5873,331.3+16.8,-11.09,1158.0,309.0,51.0
NGC5882,327.8+10.0,-10.37,1048.0,374.0,6.0
NGC5979,322.5-05.2,-11.22,815.0,368.0,102.0
NGC6026,341.6+13.7,-11.65,605.0,411.0,50.0
NGC6058,064.6+48.2,-11.77,1125.0,346.0,80.0
NGC6072,342.1+10.8,-11.22,1360.0,619.0,41.0
NGC6153,341.8+05.4,-10.84,1073.0,858.0,19.0
NGC6210,043.1+37.7,-10.09,365.0,254.0,2.3
NGC6302,349.5+01.0,-10.55,1354.0,704.0,59.0
NGC6309,009.6+14.8,-11.24,1181.0,547.0,87.0
NGC6326,338.1-08.3,-11.08,1266.0,418.0,54.0
NGC6337,349.3-01.1,-11.35,1008.0,588.0,67.0
NGC6369,002.4+05.8,-11.32,1484.0,1158.0,5.0
NGC6439,011.0+05.8,-11.68,1145.0,474.0,23.0
NGC6445,008.0+03.9,-11.22,2015.0,626.0,57.0
NGC6537,010.1+00.7,-11.4,1172.0,1495.0,78.0
NGC6543,096.4+29.9,-9.61,,293.0,6.0
NGC6563,358.5-07.3,-10.93,1118.0,320.0,26.0
NGC6565,003.5-04.6,-11.22,1340.0,402.0,22.0
NGC6567,011.7-00.6,-10.93,1038.0,530.0,2.1
NGC6572,034.6+11.8,-9.82,399.0,297.0,
NGC6578,010.8-01.8,-11.55,893.0,878.0,
NGC6620,005.8-06.1,-11.73,1244.0,436.0,22.0
NGC6629,009.4-05.0,-10.91,772.0,584.0,
NGC6644,008.3-07.3,-10.99,465.0,348.0,15.0
NGC6720,063.1+13.9,-10.08,,,
NGC6741,033.8-02.6,-11.32,1655.0,600.0,33.0
NGC6751,029.2-05.9,-11.26,,,
NGC6765,062.4+09.5,-11.9,1244.0,300.0,76.0
NGC6772,033.1-06.3,-11.67,1217.0,519.0,
NGC6778,034.5-06.7,-11.16,579.0,434.0,16.0
NGC6781,041.8-02.9,-11.21,,,
NGC6790,037.8-06.3,-10.9,1274.0,545.0,3.0
NGC6803,046.4-04.1,-11.18,1028.0,411.0,5.0
NGC6804,045.7-04.5,-11.3,,,
NGC6807,042.9-06.9,-11.48,1152.0,386.0,
NGC6818,025.8-17.9,-10.48,1495.0,298.0,72.0
NGC6826,083.5+12.7,-9.98,242.0,344.0,4.0
NGC6833,082.5+11.3,-11.25,245.0,,
NGC6842,065.9+00.5,-11.73,562.0,410.0,
NGC6852,042.5-14.5,-11.7,951.0,242.0,123.0
NGC6853,060.8-03.6,-9.46,1106.0,262.0,70.0
NGC6879,057.2-08.9,-11.58,858.0,286.0,3.0
NGC6881,074.5+02.1,-12.24,1851.0,985.0,36.0
NGC6884,082.1+07.0,-11.11,485.0,392.0,21.0
NGC6886,060.1-07.7,-11.31,552.0,424.0,37.0
NGC6891,054.1-12.1,-10.65,868.0,353.0,
NGC6894,069.4-02.6,-11.41,,,
NGC6905,061.4-09.5,-10.92,958.0,319.0,91.0
NGC7008,093.4+05.4,-10.86,,,
NGC7009,037.7-34.5,-9.78,,,
NGC7026,089.0+00.3,-10.9,985.0,485.0,30.0
NGC7027,084.9-03.4,-10.12,,,41.0
NGC7048,088.7-01.6,-11.41,965.0,365.0,67.0
NGC7094,066.7-28.2,-11.77,490.0,302.0,51.0
NGC7139,104.1+07.9,-11.8,769.0,432.0,
NGC7293,036.1-57.1,-9.37,592.0,189.0,
NGC7354,107.8+02.3,-11.58,1455.0,870.0,46.0
NGC7662,106.5-17.6,-9.99,425.0,282.0,17.0
