ID;Name;Type;RA;Dec;Mag
Kap Pup;H III 27;Dbl;07h 38m 48s;-26°48,0';4,5
Lam Ari;H V 12 = O SST 21;Dbl;01h 57m 54s;+23°36,0';4,9
Lam Ori;STF 738;Dbl;05h 35m 08s;+09°56,0';3,5
Mu Boo;STF 1938;Dbl;15h 24m 30s;+37°23,0';4,3
Mu Cru;SAO 240366;Dbl;12h 54m 36s;-57°10,6';4,0
Mu Dra;STF 2120;Dbl+Var Star;17h 05m 20s;+54°28,2';5,8
Mu Lup;h 4753;Triple;15h 18m 32s;-47°52,5';4,3
N Hya;H III 96;Dbl;11h 32m 16s;-29°15,8';5,8
Nu Dra;STF I 35;Dbl;17h 32m 11s;+55°11,0';4,9
Nu Sco;BU 120;Mult;16h 12m 00s;-19°27,6';4,0
o-1 Cyg;STF I 50;Mult;20h 14m 00s;+46°44,0';3,8
O2 Eri;STF518;Dbl;04h 15m 18s;-07°39,0';4,4
Omi Oph;H III 25;Dbl;17h 18m 00s;-24°17,0';6,8
Pi Boo;STF 1864;Dbl;14h 40m 42s;+16°25,0';4,9
Pi Lup;h 4728;Dbl;15h 05m 07s;-47°03,0';4,7
Psi Dra;STF 2241;Mult;17h 41m 56s;+72°08,9';4,6
Psi Pic;STF 88;Triple;01h 05m 41s;+21°28,3';5,3
Rho Eri;Dunlop 5;Dbl;01h 40m 10s;-56°12,7';5,8
Rho Her;STF 2161;Triple;17h 23m 41s;+37°08,8';5,5
Rho Her;STF 2264;Triple;17h 23m 41s;+37°08,7';4,5
Sig Cas;STF 3049;Dbl;23h 59m 00s;+55°45,0';5,0
Sig CrB;STF 2032;Dbl;16h 14m 42s;+33°52,0';5,6
Sig Ori;STF 762;Mult;05h 38m 45s;-02°36,0';3,8
STF742;STF 742;Dbl;05h 36m 24s;+22°00,0';7,2
STF1657;24 Com;Dbl;12h 35m 06s;+18°23,0';5,0
STF2816;STF 2816;Dbl;21h 39m 00s;+57°29,0';5,7
STF2840;STF 2840;Dbl;21h 52m 00s;+55°48,0';5,7
STF3053;STF 3053;Dbl;00h 02m 36s;+66°06,0';5,9
The Aur;ALDS 29;Dbl;05h 59m 42s;+37°13,0';2,6
The Eri;Piazzi (no #);Dbl;02h 58m 16s;-40°18,2';3,2
The Ind;h 5258;Dbl;21h 19m 52s;-53°27,0';4,4
The Ori;STF 748;Mult;05h 35m 17s;-05°23,3';5,1
The Ser;STF 2417;Triple;18h 56m 13s;+04°12,2';4,6
The Tau;STF I 10;Mult;04h 28m 35s;+15°57,7';3,8
Ups Car;SAO 250695;Dbl;09h 47m 06s;-65°04,3';3,0
Xi Boo;STF 1888;Dbl;14h 51m 24s;+19°06,0';4,6
Xi Cep;STF 2863;Dbl;22h 03m 48s;+64°38,0';4,4
Xi Lup;Dunlop 196;Dbl;15h 56m 53s;-33°58,0';5,1
Xi Sco;STF 1998;Mult;16h 04m 22s;-11°22,3';5,1
Xi UMa;STF 1523;Dbl+Var Star;11h 18m 11s;+31°31,7';4,4
Zet Aqr;STF 2909;Triple;22h 28m 50s;-00°01,2';4,6
Zet Boo;STF 1865;Dbl+Var Star;14h 41m 09s;+13°43,6';4,4
Zet Cnc;Tegmeni;Dbl;08h 12m 12s;+17°39,0';6,0
Zet CrB;STF 1965;Dbl;15h 39m 24s;+36°38,0';5,1
Zet Lyr;STF I 38;Mult;18h 44m 48s;+37°35,6';5,7
Zet Ori;STF 774;Dbl;05h 40m 46s;-01°56,5';2,0
Zet Psc;STF 100;Mult;01h 13m 44s;+07°34,5';5,2
Zet UMa;STF 1744;Mult;13h 23m 56s;+54°55,2';4,0
