Id;Name;Type;RA;Dec;Mag 1;Mag 2;Sep;PosAngle;Spect 1;Spect 2;Catalogue
DBL0040;f Eri,Dunlop 16;Dbl;03h 48m 36s;-37°37,0';4,8;;;;;;CDSA
DBL0041;Zeta Per,SAO56799,HD24398,zet Per,44 Per,Atik,HR1203;Mult;03h 54m 08s;+31°53,0';2,8;9,4;12,9;;;;RASC
DBL0042;32 Eri,SAO130805,HR1211,HD24554,STF 470;Triple;03h 54m 17s;-02°57,1';6,1;7,6;6,8;;;;AL|CDSA
DBL0043;Keid,SAO131063,HD26965,omi Eri,40 Eri,O2 Eri,STF518;Mult;04h 15m 16s;-07°39,1';4,4;9,4;83,4;;;;RASC|CDSA
DBL0044;WDS04204+2721,Phi Tau,SHJ40,BD+27 00655;Dbl;04h 20m 21s;+27°21,0';5,1;7,5;48,7;259;K2III;;WDS
DBL0045;Chi Tau,59 Tau,SAO76573,HR1369,HD27638;Triple;04h 22m 35s;+25°37,7';5,4;8,4;19,4;;;;AL
DBL0046;HIP20531,CCDM04240+2419,BD+23  683;Star+Dbl;04h 23m 58s;+24°18,2';8,2;8,2;;;A1Vp;;WDS
DBL0047;WDS04240+2418,62 Tau,STF534,BD+23 00684;Dbl;04h 24m 00s;+24°18,0';6,4;7,9;29,1;291;B3V;A1V;WDS
DBL0048;WDS04254+2218,Kappa Tau,STF541,BD+21 00642;Dbl;04h 25m 22s;+22°17,6';4,2;5,3;339,4;174;A7IV/V;;WDS
DBL0049;The Tau,STF I 10;Mult;04h 28m 35s;+15°57,7';3,8;;;;;;CDSA
DBL0050;WDS04287+1552,Theta 2 Tau,STFA10,BD+15 00632;Dbl;04h 28m 40s;+15°52,2';3,4;3,9;336,9;347;A7III;;WDS
DBL0051;1 Cam,SAO24672,HR1417,HD28446;Triple;04h 32m 02s;+53°54,6';5,8;6,9;10,3;;;;AL|RASC
DBL0052;WDS04334+4304,57 Per,SHJ44,BD+42 00990;Dbl;04h 33m 25s;+43°03,8';6,1;6,8;121,4;197;F0V;;WDS
DBL0053;WDS04357+1010,88 Tau,SHJ45;Dbl;04h 35m 39s;+10°09,6';4,3;7,8;69,2;300;A5m;;WDS
DBL0054;HIP21673,Sigma 1 Tau,CCDM04392+1552,HD29479,BD+15  665;Star+Dbl;04h 39m 09s;+15°48,0';5,1;5,1;;;A4m;;WDS
DBL0055;WDS04393+1555,Sigma 2 Tau,STFA11,BD+15 00666;Dbl;04h 39m 17s;+15°55,0';4,7;5,1;444,0;194;A5Vn;A4m;WDS
DBL0056;WDS04422+2257,Tau Tau,S455,BD+22 00737;Dbl;04h 42m 15s;+22°57,4';4,2;7,0;62,5;214;B3V;;WDS
DBL0057;55 Eri,SAO131442,HR1505,HD30020;Dbl;04h 43m 35s;-08°47,6';6,8;6,9;9,3;;;;AL
DBL0058;Iot Pic,Dunlop 18;Dbl;04h 50m 55s;-53°27,6';5,6;;;;;;CDSA
DBL0059;WDS04564-0510,62 Eri,SHJ48,BD-05 01091;Dbl;04h 56m 24s;-05°10,2';5,5;8,9;66,1;76;B6V;;WDS
DBL0060;Beta Cam,SAO13351,HD31910,bet Cam,10 Cam,WDS05034+6027,S459,BD+60 00856,HIP23522,ASCC118306;Triple;05h 03m 25s;+60°26,5';4,0;7,4;80,8;209;G1I;A5;RASC|WDS
DBL0061;WDS05061+5858,11 Cam,STFA13,BD+58 00804,HIP23734,HD32343;Dbl;05h 06m 08s;+58°58,3';5,2;6,2;177,7;10;B2.5Ve;;WDS
DBL0062;Rho Ori,SAO112528,HD33856,17 Ori;Triple;05h 13m 17s;+02°51,6';4,5;8,4;6,9;;;;RASC
DBL0063;Bet Ori,19 Ori,SAO131907,HR1713,HD34085,STF668;Mult;05h 14m 32s;-08°12,1';0,1;6,6;9,5;;;;AL|CDSA
DBL0064;Eta Ori,Dawes 5;Dbl;05h 24m 29s;-02°23,8';3,4;;;;;;CDSA
DBL0065;118 Tau,SAO77201,HR1821,HD35943;Triple;05h 29m 16s;+25°09,0';5,5;6,3;4,8;;;;AL
DBL0066;Del Ori,34 Ori,SAO132221,HR1851,HD36485,Mintaka,SAO132220,HD36486,STF I 14,WDS05320-0018,Delta Ori,STFA14,BD-00 00982;Triple;05h 32m 00s;-00°17,0';6,8;11,4;51,7;0;O9.5II;;AL|RASC|CDSA|WDS
DBL0067;Struve 747,HR1887,SAO132301,HD36960;Dbl;05h 35m 00s;-06°00,0';4,8;5,7;35,8;;;;AL|RASC
DBL0068;Lam Ori,39 Ori,SAO112921,HR1879,HD36861,STF 738;Mult;05h 35m 08s;+09°56,0';3,5;5,5;4,4;;;;AL|CDSA
DBL0069;The Ori,41 Ori,SAO132314,HR1895,HD37022,The Trapezium,Trapezium,STF 748,HIP26221,Theta 1 Ori,CCDM05353-0524,BD-05 1315;Mult;05h 35m 17s;-05°23,3';5,1;5,2;117,0;;O6pe;;AL|RASC|CDSA|WDS
DBL0070;The Ori,43 Ori,SAO132321,HR1897,HD37041,WDS05354-0525,Theta 2 Ori,STFA17,BD-05 01319;Mult;05h 35m 23s;-05°25,0';5,1;5,2;117,0;315;O9.5IV;;AL|WDS
DBL0071;ASCC1198622,42 Ori,HIP26237,HD37018;Star+Var Star+Dbl;05h 35m 23s;-04°50,3';4,6;5,2;252,0;105;B2III...;;WDS
DBL0072;Iot Ori,44 Ori,SAO132323,HR1899,HD37043,STF 752;Triple;05h 35m 26s;-05°54,6';2,8;7,3;11,4;;;;AL|CDSA
DBL0073;STF742,STF 742;Dbl;05h 36m 24s;+22°00,0';7,2;;;;;;CDSA
DBL0074;Sig Ori,48 Ori,SAO132406,HR1931,HD37468,STF 762;Mult;05h 38m 45s;-02°36,0';3,8;4,6;0,2;;;;AL|CDSA
DBL0075;Zet Ori,50 Ori,SAO132444,HR1948,HD37742,STF 774;Triple;05h 40m 46s;-01°56,5';2,0;4,2;2,4;;;;AL|CDSA
DBL0076;Gam Lep,13 Lep,SAO170759,HR1983,HD38393,Gamma Lep,Kursi al Jabbar,H VI 40,WDS05445-2227,H640,CD-22 01211;Triple;05h 44m 28s;-22°26,8';3,6;6,1;96,5;349;F6V;K2V;AL|RASC|CDSA|WDS
DBL0077;The Aur,37 Aur,SAO58636,HR2095,HD40312,ALDS 29;Mult;05h 59m 43s;+37°12,7';2,6;7,1;3,5;;;;AL|CDSA
DBL0078;WDS06045+5134,35 Cam,STT128,BD+51 01146,CCDM06045+5135,HD40873;Dbl;06h 04m 29s;+51°34,4';6,4;9,3;39,5;14;A7III;;WDS
DBL0079;Eps Mon,8 Mon,SAO113810,HR2298,HD44769,STF 900;Triple;06h 23m 46s;+04°35,5';4,4;6,6;12,9;;;;AL|CDSA
DBL0080;WDS06268+5825,5 Lyn,S514,BD+58 00925;Dbl;06h 26m 49s;+58°25,0';5,4;7,9;95,5;272;K4III;;WDS
DBL0081;Bet Mon,11 Mon,SAO133316,HR2356,HD45725,Beta Mon,STF 919;Mult;06h 28m 49s;-07°02,0';4,6;5,1;7,1;;;;AL|RASC|CDSA
DBL0082;WDS06290+2013,Nu Gem,STTA77,BD+20 01441;Dbl;06h 28m 58s;+20°12,7';4,1;8,0;112,8;330;B6IIIe;;WDS
DBL0083;WDS06323+1747,20 Gem,STF924,BD+17 01286,HIP31158,CCDM06323+1747,HD46136,BD+17 1286;Dbl;06h 32m 19s;+17°47,0';6,3;6,9;19,9;211;F8III;;WDS
DBL0084;Alp CMa,SAO 151881;Mult;06h 45m 09s;-16°43,0';-1,5;;;;;;CDSA
DBL0085;12 Lyn,SAO25939,HR2470,HD48250,STF 948;Mult;06h 46m 14s;+59°26,5';4,9;5,5;1,7;;;;AL|CDSA
DBL0086;Eps CMa,21 CMa,SAO172676,HR2618,HD52089,ALDS 33;Dbl;06h 58m 38s;-28°58,3';1,5;7,9;7,5;;;;AL|CDSA
DBL0087;Mekbuda,SAO79031,HD52973,zet Gem,43 Gem,WDS07041+2034,Zeta Gem,SHJ77;Mult;07h 04m 07s;+20°34,2';3,8;3,8;0,1;347;F7-G3Ib;;RASC|WDS
DBL0088;Gam Vol,Dunlop 42;Dbl;07h 08m 42s;-70°29,8';5,7;;;;;;CDSA
DBL0089;HR 2764,SAO173349,HD56577,Winter Albiero,145CMa,ADS5951,WDS 07166-2319,WDS07166-2319,HJ3945,CD-23 05189;Dbl;07h 16m 37s;-23°18,9';4,8;6,0;26,8;50;K3Ib;dF0;RASC|CDSA|WDS
DBL0090;HIP35213,CCDM07166-2319,HD56578,BD-23  118,CD-23  5192,CPD-23  2015;Star+Dbl;07h 16m 38s;-23°18,6';6,0;6,0;;;A5m...;;WDS
DBL0091;Del Gem,55 Gem,SAO79294,HR2777,HD56986,STF 1066;Triple;07h 20m 07s;+21°58,9';3,5;5,5;0,2;;;;AL|CDSA
DBL0092;19 Lyn,SAO26311,HR2783,HD57102,SAO26312,HD57103,HR 2784,WDS07229+5517,STF1062,BD+55 01193;Mult;07h 22m 51s;+55°17,0';6,5;7,5;15,1;4;B8V;;AL|RASC|WDS
DBL0093;WDS07241-2918,Eta CMa,SMY2,CD-29 04328,Aludra;Dbl;07h 24m 06s;-29°18,1';2,5;6,8;177,0;287;B5Ia;;WDS
DBL0094;WDS07247-3149,DUN47,CD-31 04481;Dbl;07h 24m 44s;-31°48,5';5,4;7,6;97,1;344;B8V;;WDS
DBL0095;ASCC673721,65 Gem,HIP36429,HD59148;Star+Dbl;07h 29m 49s;+27°55,0';5,0;;818,0;333;K2III;;WDS
DBL0096;HR 2910,SAO174020,HD60585,N Pup;Dbl;07h 34m 19s;-23°28,4';5,9;5,9;9,6;;;;RASC
DBL0097;Alp Gem,66 Gem,SAO60198,HR2890,HD60178,STF 1110;Mult;07h 34m 36s;+31°53,3';2,9;3,8;2,0;;;;AL|CDSA
DBL0098;Kap Pup,H III 27;Dbl;07h 38m 18s;-25°21,8';4,7;5,1;0,2;;;;AL|CDSA
DBL0099;2 Pup,SAO153363,HD62864,HR3010;Triple;07h 45m 29s;-14°41,4';6,1;6,9;16,8;;;;RASC
DBL0100;HIP38031,CCDM07477-1600,HD63302,BD-15 2049;Star+Var Star;07h 47m 39s;-15°59,4';6,4;6,6;;;K3Iab/b;;WDS
DBL0101;WDS07478-1601,KNT4,BD-15 02052;Dbl;07h 47m 45s;-16°00,8';6,6;6,5;128,1;313;K5II;K2I;WDS
DBL0102;WDS07583+0213,14 CMi,SHJ87,BD+02 01833;Dbl;07h 58m 21s;+02°13,4';5,4;9,4;100,1;84;K0III;;WDS
DBL0103;WDS07583+0213,SHJ87,BD+02 01835;Dbl;07h 58m 27s;+02°13,6';9,4;9,9;127,9;193;A0;;WDS
DBL0104;Gam Vel,Dunlop 65;Mult;08h 09m 29s;-47°20,7';4,3;;;;;;CDSA
DBL0105;Zet Cnc,16 Cnc,SAO97645,HR3208,HD68257,Tegmen,HD68256,HR3209,Tegmeni;Mult;08h 12m 13s;+17°38,8';5,6;6,0;0,9;;;;AL|RASC|CDSA
DBL0106;HR3395,SAO116929,HD72945;Mult;08h 35m 51s;+06°37,2';6,0;7,2;10,3;;;;RASC
DBL0107;WDS08437-0714,F Hydrae,S579,BD-06 02708;Dbl;08h 43m 40s;-07°14,0';4,7;8,2;78,8;310;G1Ib;;WDS
DBL0108;Iot Cnc,48 Cnc,SAO80415,HR3474,HD74738,STF1268,WDS08467+2846,Iota Cnc,BD+29 01824,HIP43103,HD74739,ASCC678182;Dbl;08h 46m 40s;+28°45,9';6,6;9,1;30,4;308;G8III;A2V;AL|CDSA|WDS
DBL0109;Eps Hya,STF 1273;Dbl;08h 46m 47s;+06°25,1';3,4;;;;;;CDSA
DBL0110;38 Lyn,SAO61391,HR3690,HD80081,STF 1334;Mult;09h 18m 51s;+36°48,1';3,8;5,9;2,7;;;;AL|CDSA
DBL0111;HIP45802,CCDM09204-0934,HD80550,BD-09 2801;Star+Dbl;09h 20m 21s;-09°36,6';7,0;10,9;9,3;198;F4V;;WDS
DBL0112;WDS09205-0933,27 Hydrae,SHJ105,BD-08 02643;Dbl;09h 20m 29s;-09°33,3';4,9;7,0;229,1;211;G8III;F4V;WDS
DBL0113;Tau 1 Hya,SAO136895,HD81997,tau Hya,31 Hya,Ukdah,HR3759,WDS09291-0246,HJ1167,BD-02 02901;Dbl;09h 29m 09s;-02°46,1';4,6;7,6;65,7;4;F6V;K0;RASC|WDS
DBL0114;Ups Car,SAO 250695;Dbl;09h 47m 06s;-65°04,3';3,0;;;;;;CDSA
DBL0115;HR 3963,SAO155704,HD87344;Triple;10h 04m 03s;-18°06,1';5,9;6,9;21,2;;;;RASC
DBL0116;Alp Leo,32 Leo,SAO98967,HR3982,HD87901,Regulus;Mult;10h 08m 22s;+11°58,0';1,4;8,2;177,6;;;;AL|CDSA
DBL0117;WDS10167+2325,36 Leo,STFA18,BD+24 02209,Adhafera;Dbl;10h 16m 41s;+23°25,0';3,5;6,0;335,4;337;F0III;;WDS
DBL0118;Gam Leo,41 Leo,SAO81298,HR4057,HD89484,STF 1424;Mult;10h 19m 58s;+19°50,5';2,6;3,8;4,5;;;;AL|CDSA
DBL0119;J VEL,Rmk 13;Triple;10h 21m 00s;-56°03,0';4,5;;;;;;CDSA
DBL0120;WDS10459+3041,42 LMi,S612,BD+31 02180;Dbl;10h 45m 52s;+30°40,9';5,3;7,8;196,4;174;A1Vn;;WDS
DBL0121;WDS10476-1516,STF1474,BD-14 03186;Dbl;10h 47m 38s;-15°15,7';6,7;7,0;65,9;27;B9IV;;WDS
DBL0122;54 Leo,SAO81583,HR4259,HD94601,STF 1487;Dbl;10h 55m 37s;+24°45,0';4,5;6,4;6,5;;;;AL|CDSA
DBL0123;WDS11037+6145,Alpha Uma,BU1077,Dubhe;Dbl;11h 03m 44s;+61°45,0';2,0;7,2;384,5;206;G9III;;WDS
DBL0124;WDS11141+2031,Delta Leo,STT573,BD+21 02298,Duhr,Zosma;Dbl;11h 14m 07s;+20°31,4';2,5;10,9;207,8;341;A4V;;WDS
DBL0125;HR4363,SAO27970,HD97855;Dbl;11h 16m 04s;+52°46,3';6,5;8,2;12,7;;;;RASC
DBL0126;Xi UMa,STF 1523;Dbl+Var Star;11h 18m 11s;+31°31,7';4,4;;;;;;CDSA
DBL0127;83 Leo,SAO118864,HD99491,HR 4414,WDS11268+0301,STF1540,BD+03 02502;Triple;11h 26m 45s;+03°00,7';6,5;7,6;28,5;146;G7V;;RASC|WDS
DBL0128;HIP55848,CCDM11268+0300,HD99492,BD+03 2503;Star+Dbl;11h 26m 47s;+03°00,3';7,6;7,6;;;K2V;;WDS
DBL0129;Tau Leo,SAO118875,HD99648,84 Leo,HR4418,WDS11279+0251,STFA19,BD+03 02504;Const;11h 27m 56s;+02°51,3';4,9;7,6;91,1;181;G8II-III;;RASC|WDS
DBL0130;N Hydrae,N Hya,H III 96;Dbl;11h 32m 16s;-29°15,7';5,8;5,9;9,3;;;;AL|CDSA
DBL0131;WDS11480+2013,93 Leo,STFB7,BD+21 02358;Dbl;11h 47m 59s;+20°13,1';4,6;9,0;74,4;356;A7V;;WDS
DBL0132;WDS11551+4629,65 Uma,STF1579,BD+47 01914;Dbl;11h 55m 06s;+46°28,6';6,7;7,0;62,9;114;A3Vn;;WDS
DBL0133;HIP58648,CCDM12021+4304,HD104425,BD+43 2177;Star+Dbl+Var Star;12h 01m 33s;+43°02,5';8,9;9,1;0,6;86;F6II;;WDS
DBL0134;WDS12021+4303,67 Uma,FOR1,BD+43 02179;Dbl;12h 02m 07s;+43°02,7';5,2;6,7;274,4;62;A7m;;WDS
DBL0135;Del Cen;Dbl;12h 08m 22s;-50°43,3';2,6;;;;;;CDSA
DBL0136;2 CVn,SAO44097,HD106690,HR4666;Dbl;12h 16m 08s;+40°39,6';5,7;8,8;11,4;;;;RASC
DBL0137;HR4698,SAO82254,HD107398;Dbl;12h 20m 41s;+27°03,2';7,1;7,2;8,5;;;;RASC
DBL0138;12 Com,SAO82273,HD107700,HR4707,WDS12225+2551,SHJ143,BD+26 02338;Triple;12h 22m 30s;+25°50,7';4,8;8,5;65,3;168;G0III-;A3;RASC|WDS
DBL0139;Alp Cru,SAO 251904;Dbl;12h 26m 36s;-63°05,9';1,3;;;;;;CDSA
DBL0140;WDS12289+2555,17 Com,STFA21,BD+26 02354;Dbl;12h 28m 55s;+25°54,7';5,2;6,6;146,4;251;A0p;;WDS
DBL0141;Del Crv,7 Crv,SAO157323,HR4757,HD108767,Algorab,Sh 145;Dbl;12h 29m 52s;-16°30,9';3,0;8,2;24,4;;;;AL|RASC|CDSA
DBL0142;Gam Cru,SAO 240019;Triple;12h 31m 10s;-57°06,8';1,6;;;;;;CDSA
DBL0143;ASCC82841,5 Dra,HIP61281,HD109387,Kappa Dra;Star+Var Star;12h 33m 29s;+69°47,2';3,9;;926,0;25;B6IIIp;;WDS
DBL0144;24 Com,SAO100159,HR4791,HD109510,STF1657;Dbl;12h 35m 06s;+18°22,6';6,6;8,1;20,2;;;;AL|RASC|CDSA
DBL0145;Gam Vir,29 Vir,SAO138917,HR4825,HD110379,STF 1670;Mult;12h 41m 40s;-01°27,0';3,6;3,8;4,1;;;;AL|CDSA
DBL0146;Bet Mus,R 207;Dbl+Var Star;12h 46m 17s;-68°06,4';3,0;;;;;;CDSA
DBL0147;32 Cam,STF 1694,WDS12492+8325,HIP27949,HD39283,Xi Aur,30 Aur,BD+55 1027,STF1694,BD+84 00290;Triple;12h 49m 07s;+83°25,0';5,8;6,3;21,6;324;A1IIIsh;;AL|CDSA|WDS
DBL0148;32 Com,SAO100309,HD111862,HR4884;Triple;12h 52m 12s;+17°04,4';6,3;6,9;196,5;;;;RASC
DBL0149;Mu Cru,SAO 240366;Dbl;12h 54m 36s;-57°10,6';4,0;;;;;;CDSA
DBL0150;Alp CVn,12 CVn,SAO63256,HR4914,HD112412,Cor Caroli,ALDS49;Dbl;12h 56m 00s;+38°18,8';5,6;8,3;19,4;;;;AL|RASC|CDSA
DBL0151;HIP65355,CCDM13237+0243,HD116443,BD+03 2766,WDS13237+0243,STF1740,BD+03 02765;Star+Dbl;13h 23m 41s;+02°43,4';7,3;7,3;26,3;74;G5;G5V;WDS
DBL0152;Zet UMa,79 UMa,SAO28737,HR5054,HD116656,STF 1744,WDS13239+5456,Zeta Uma,STF1744,Mizar;Mult;13h 23m 56s;+54°55,5';2,3;4,0;715,5;73;A1VpSrSi;;AL|CDSA|WDS
DBL0153;HIP65477,Alcor,CCDM13240+5456,HD116842,BD+55 1603;Star+Var Star;13h 25m 13s;+54°59,2';4,0;4,1;;;A5V SB;;WDS
DBL0154;WDS13284+1347,70 Vir,STT579,BD+14 02621;Dbl;13h 28m 26s;+13°46,7';5,0;8,7;268,6;127;G2V;K0II;WDS
DBL0155;3 Cen,SAO 204917;Dbl;13h 51m 50s;-32°59,6';6,1;;;;;;CDSA
DBL0156;Bet Cen,SAO 252582;Dbl;14h 03m 49s;-60°22,3';0,6;;;;;;CDSA
DBL0157;Kap Boo,17 Boo,SAO29045,HR5328,HD124674,Asellus Tertius,Kappa 2 Boo,STF 1821;Dbl;14h 13m 28s;+51°47,2';6,7;8,9;13,4;;;;AL|RASC|CDSA
DBL0158;Iot Boo,21 Boo,SAO29071,HR5350,HD125161,Iota Boo,Asellus Secundus,WDS14162+5122,STFA26,BD+52 01784,HIP69713;Triple;14h 16m 10s;+51°22,0';4,8;8,2;38,7;33;A7IV;K0V;AL|RASC|WDS
DBL0159;HR5397,SAO158558,HD126367;Triple;14h 25m 30s;-19°58,1';6,6;7,0;35,1;;;;RASC
DBL0160;HIP70781,CCDM14285+2817,HD127043,BD+28 2331,WDS14286+2817,STF1850,BD+28 02332,HD127067;Star+Dbl;14h 28m 31s;+28°17,3';7,6;7,6;25,5;261;A1V;A1V;WDS
DBL0161;Alp Cen,SAO 252838;Triple;14h 39m 36s;-60°50,1';0,0;;;;;;CDSA
DBL0162;Pi Boo,29 Boo,SAO101138,HR5475,HD129174,STF 1864;Triple;14h 40m 44s;+16°25,0';4,9;5,8;5,7;;;;AL|CDSA
DBL0163;Zet Boo,STF 1865;Dbl+Var Star;14h 41m 09s;+13°43,6';4,4;;;;;;CDSA
DBL0164;Eps Boo,36 Boo,HR5505,HD129988,Izar;Triple;14h 44m 59s;+27°04,5';5,1;7,7;2,8;;;;AL|CDSA
DBL0165;Alp Lib,8 Lib,SAO158836,HR5530,HD130819,HIP72603,CCDM14508-1602,BD-15 3965;Triple;14h 50m 41s;-15°59,8';5,2;5,5;;;F3V;;AL|WDS
DBL0166;Zuben Elgenubi,SAO158840,HD130841,alp Lib,9 Lib,Zubenelgenubi,HR5531,Sh 186,WDS14509-1603,Alpha Lib,SHJ186,BD-15 03966;Triple;14h 50m 53s;-16°02,5';2,8;3,2;230,8;314;A3IV;F4IV;RASC|CDSA|WDS
DBL0167;Xi Boo,37 Boo,SAO101250,HR5544,HD131156,STF 1888;Mult;14h 51m 23s;+19°06,0';4,5;6,7;7,2;;;;AL|CDSA
DBL0168;Pi Lup,h 4728;Dbl;15h 05m 07s;-47°03,0';4,7;;;;;;CDSA
DBL0169;Kap Lup,Dunlop 177;Dbl;15h 11m 58s;-48°44,6';5,7;;;;;;CDSA
DBL0170;Del Boo,49 Boo,SAO64589,HR5681,HD135722,Delta Boo,WDS15155+3319,STFA27,BD+33 02561,HIP74666;Dbl;15h 15m 30s;+33°18,8';3,5;7,9;104,9;78;G8III;G0V;AL|RASC|WDS
