Id;Name;Type;RA;Dec;Mag 1;Mag 2;Sep;PosAngle;Spect 1;Spect 2;Catalogue
DBL0171;Mu Lup,h 4753;Triple;15h 18m 32s;-47°52,5';4,3;;;;;;CDSA
DBL0172;Mu Boo,51 Boo,SAO64686,HR5733,HD137391,Alkalurops,Mu 1 Boo,STF 1938,WDS15245+3723,Mu1 Boo,STFA28,CCDM15245+3722,BD+37 2636;Triple;15h 24m 29s;+37°22,6';4,3;6,5;108,9;171;F2IVa;G0V;AL|RASC|CDSA|WDS
DBL0173;Del Ser,13 Ser,SAO101623,HR5788,HD138917,STF 1954;Mult;15h 34m 48s;+10°32,2';3,8;4,9;3,9;;;;AL|CDSA
DBL0174;HR5816,SAO140672,HD139461;Dbl;15h 38m 40s;-08°47,4';6,5;6,7;11,9;;;;RASC
DBL0175;Zet CrB,7 CrB,SAO64833,HR5833,HD139891,STF 1965;Dbl;15h 39m 22s;+36°38,2';6,0;7,0;6,4;;;;AL|CDSA
DBL0176;Xi Lup,Dunlop 196;Dbl;15h 56m 53s;-33°58,0';5,1;;;;;;CDSA
DBL0177;Eta Lup,Dunlop 197;Triple;16h 00m 07s;-38°23,8';3,4;;;;;;CDSA
DBL0178;Xi Sco,SAO159665,HR5977,HD144069,STF 1998;Mult;16h 04m 22s;-11°22,3';5,1;5,3;1,2;;;;AL|RASC|CDSA
DBL0179;Struve 1999;Dbl;16h 04m 24s;-11°27,0';7,4;8,0;10,5;;;;AL
DBL0180;Bet Sco,8 Sco,SAO159682,HR5984,HD144217,H III 7;Mult;16h 05m 26s;-19°48,3';2,6;3,9;;;;;AL|CDSA
DBL0181;ASCC1586748,Omega 2 Sco,HIP78990,HD144608,10 Sco;Star+Var Star;16h 07m 24s;-20°52,1';4,3;;877,0;145;G6/G8III;;WDS
DBL0182;Kap Her,7 Her,SAO101951,HR6008,HD145001,STF 2010,WDS16081+1703,Kappa Her,STF2010,BD+17 02964,Maasym,Marsic,HIP79043;Triple;16h 08m 04s;+17°02,8';5,0;6,2;28,1;14;G7g;K0IV;AL|CDSA|WDS
DBL0183;HIP79045,Maasym,Marsic,CCDM16081+1703,HD145000,BD+17 2965;Star+Dbl;16h 08m 05s;+17°03,2';6,2;6,2;;;K1III;;WDS
DBL0184;HR6043,SAO65129,HD145802;Triple;16h 11m 40s;+33°20,5';6,3;10,6;5,4;;;;RASC
DBL0185;Nu Sco,14 Sco,SAO159763,HR6026,HD145501,BU 120,WDS16120-1928,H56,BD-19 04332,Jabbah;Mult;16h 11m 59s;-19°27,0';6,3;8,8;41,1;336;B2IV;;AL|CDSA|WDS
DBL0186;Sig CrB,17 CrB,SAO65165,HR6063,HD146361,Sigma CrB,STF 2032;Mult;16h 14m 41s;+33°51,5';5,6;6,6;6,4;;;;AL|RASC|CDSA
DBL0187;WDS16224+3348,Nu CrB,STFA29,BD+34 02773;Dbl;16h 22m 21s;+33°47,9';5,4;5,6;354,7;164;M2IIIab;;WDS
DBL0188;WDS16256-2327,BU1115,CD-23 12860,CCDM16255-2327,HD147888,CPD-23  6368,HIP80461;Dbl;16h 25m 24s;-23°27,6';6,8;8,4;0,3;196;B5V;;WDS
DBL0189;WDS16256-2327,H219,CD-23 12862;Dbl;16h 25m 35s;-23°26,7';5,1;7,3;151,1;0;B5V;;WDS
DBL0190;WDS16256-2327,KOU63,CCDM16255-2327,HD147932,CD-23 12862,CPD-23  6370,HIP80474;Dbl;16h 25m 35s;-23°24,3';5,8;11,7;4,8;206;B5V;;WDS
DBL0191;Eps Nor,h 4853;Dbl;16h 27m 11s;-47°33,3';4,5;;;;;;CDSA
DBL0192;Alp Sco,Burg/Grant (no #);Dbl;16h 29m 24s;-26°25,9';1,0;;;;;;CDSA
DBL0193;16 Dra,SAO30012,HR6184,HD150100;Mult;16h 36m 12s;+52°54,0';5,5;5,5;90,3;;;;AL
DBL0194;17 DraS,SAO30013,HD150117,17 Dra,HR6185,WDS16362+5255,STFA30,BD+53 01875;Mult;16h 36m 14s;+52°55,4';5,1;5,1;90,3;193;B9V;;RASC|WDS
DBL0195;WDS16406+0413,37 Her,STFA31,HIP81641,HD150378,3,ASCC1149754;Dbl;16h 40m 39s;+04°13,1';5,8;6,9;69,3;229;A1V;A3IV;WDS
DBL0196;WDS16519-3803,Mu 1 Sco,SKF2608;Dbl;16h 51m 52s;-38°02,8';3,0;3,5;346,8;72;B1IV;B2IV;WDS
DBL0197;HIP82671,HD152236,CD-42 11633,CPD-42  7545;Star+Var Star;16h 54m 00s;-42°21,7';4,8;4,9;;;B1Iae;;WDS
DBL0198;ASCC1974877,HIP82729,HD152334,zet Sco;Star+Var Star;16h 54m 35s;-42°21,6';3,6;;391,0;270;K4III;;WDS
DBL0199;WDS17037+1336,STFA33,BD+13 03292;Dbl;17h 03m 39s;+13°36,3';5,9;6,2;304,9;117;A1V;K1III;WDS
DBL0200;Mu Dra,21 Dra,SAO30239,HR6369,HD154905,STF 2120;Triple;17h 05m 20s;+54°28,2';5,8;5,9;2,0;;;;AL|CDSA
DBL0201;Alp Her,64 Her,SAO102680,HR6406,HD156014,Rasalgethi,STF 2140;Mult;17h 14m 39s;+14°23,4';3,5;5,7;4,9;;;;AL|RASC|CDSA
DBL0202;Del Her,65 Her,SAO84951,HR6410,HD156164,STF 3127;Mult;17h 15m 02s;+24°50,3';3,1;8,7;8,5;;;;AL|CDSA
DBL0203;36 Oph,SAO185199,HR6401,HD155885,Sh 243,WDS17153-2636,SHJ243,CD-26 12036;Mult;17h 15m 21s;-26°36,1';5,1;5,1;4,6;74;K5Ve;;AL|CDSA|WDS
DBL0204;Omi Oph,39 Oph,SAO185238,HR6424,HD156349,H III 25;Dbl;17h 18m 01s;-24°17,2';5,2;6,7;10,2;;;;AL|CDSA
DBL0205;Rho Her,75 Her,SAO66000,HR6484,HD157778,STF 2161,STF 2264;Triple;17h 23m 41s;+37°08,8';5,5;6,5;4,2;;;;AL|CDSA
DBL0206;Nu Dra,24 Dra,SAO30447,HR6554,HD159541,STF I 35;Dbl;17h 32m 11s;+55°11,0';4,9;4,9;62,3;;;;AL|CDSA
DBL0207;Kuma,SAO30450,HD159560,nu Dra,25 Dra,HR6555,WDS17322+5511,STFA35,BD+55 01945;Dbl;17h 32m 16s;+55°10,3';4,9;4,9;62,3;311;A4m;A6V;RASC|WDS
DBL0208;WDS17346+0935,STFA34,BD+09 03423;Dbl;17h 34m 36s;+09°34,5';7,5;12,0;90,6;223;A8IV;;WDS
DBL0209;WDS17346+0935,STFA34,BD+09 03424;Dbl;17h 34m 37s;+09°35,2';5,8;7,5;41,1;190;A2V;;WDS
DBL0210;WDS17391+0202,SHJ251,BD+02 03372;Dbl;17h 39m 05s;+02°03,2';7,8;10,7;99,8;69;F0;;WDS
DBL0211;WDS17391+0202,SHJ251,BD+02 03373;Dbl;17h 39m 08s;+02°01,6';6,4;7,8;111,3;328;K0III;;WDS
DBL0212;Psi Dra,31 Dra,SAO8890,HR6636,HD162003,Dziban,STF 2241,WDS17419+7209,STF2241,BD+72 00804;Mult;17h 41m 56s;+72°08,9';4,6;5,8;30,2;16;F5IV;F8V;AL|RASC|CDSA|WDS
DBL0213;HIP86620,CCDM17420+7209,HD162004,BD+72  805;Star+Dbl;17h 41m 58s;+72°09,4';5,8;5,8;;;G0V;;WDS
DBL0214;HIP87728,HD164613,BD+72  818;Star;17h 55m 11s;+72°00,3';5,4;;3705,0;96;F2.5II-III;;WDS
DBL0215;WDS17592+6409,STF2273,BD+64 01237,HIP88062,CCDM17592+6409,HD164983;Dbl;17h 59m 14s;+64°08,5';7,3;7,6;21,4;282;F4V;F5V;WDS
DBL0216;40 Dra,SAO8994,HR6809,HD166865,41 Dra,SAO8996,HD166866,HR6810,STF 2308,HIP88127,CCDM18002+8000,BD+79  570,WDS18002+8000,STF2308,BD+79 00571;Triple;18h 00m 03s;+80°00,0';6,0;6,4;19,3;232;K2Vvar;F7V;AL|RASC|CDSA|WDS
DBL0217;WDS18006+0256,67 Oph,H62,BD+02 03459;Dbl;18h 00m 39s;+02°55,8';4,0;8,1;54,7;143;B5I;B2V;WDS
DBL0218;95 Her,SAO85647,HR6729,HD164668;Dbl;18h 01m 30s;+21°35,7';5,2;5,3;6,3;;;;AL
DBL0219;70 Oph,SAO123107,HR6752,HD165341,STF 2272;Mult;18h 05m 27s;+02°30,0';4,0;5,8;1,9;;;;AL|CDSA
DBL0220;h 5014;Dbl;18h 07m 00s;-43°25,0';5,7;;;;;;CDSA
DBL0221;100 Her,SAO85753,HD166045,HR6781,STF 2280;Mult;18h 07m 50s;+26°06,0';5,9;5,9;14,3;;;;RASC|CDSA
DBL0222;WDS18239+5848,39 Dra,STF2323,BD+58 01810;Dbl;18h 23m 55s;+58°48,0';5,1;7,9;89,2;19;A1V;;WDS
DBL0223;Alp Lyr,H V 39;Dbl;18h 36m 56s;+38°47,0';0,0;;;;;;CDSA
DBL0224;Eps Lyr,4 Lyr,SAO67310,HR7051,HD173582,Epsilon 1 Lyr,Double Double,STF 2382/3,WDS18443+3940,STFA37,HIP91919,4 Ly;Mult;18h 44m 20s;+39°40,2';5,1;5,1;209,3;172;A4V;;AL|RASC|CDSA|WDS
DBL0225;HIP91926,Epsilon 2 Lyr,CCDM18443+3938,HD173607,BD+39 3510;Star+Dbl;18h 44m 23s;+39°36,7';4,6;4,8;2,3;87;A8Vn;;WDS
DBL0226;Zet Lyr,6 Lyr,SAO67321,HR7056,HD173648,STF I 38,WDS18448+3736,Zeta 1 Lyr,STFA38,BD+37 03223,HIP91971;Mult;18h 44m 46s;+37°36,3';4,4;5,8;43,7;150;F0IVv;;AL|CDSA|WDS
DBL0227;HR7083,SAO142661,HD174208;Triple;18h 49m 41s;-05°54,7';6,0;8,5;113,7;;;;RASC
DBL0228;Bet Lyr,10 Lyr,SAO67451,HR7106,HD174638,Sheliak,STF I 39,WDS18501+3322,Beta Lyr,STFA39,BD+33 03223,HIP92420;Mult;18h 50m 05s;+33°21,7';3,5;8,7;45,7;148;B7Ve;A8p;AL|RASC|CDSA|WDS
DBL0229;Struve 2404,HR7099,SAO104170,HD174569;Dbl;18h 50m 48s;+10°59,0';6,9;8,0;3,6;;;;AL|RASC
DBL0230;Del Lyr,Sh 586;Dbl;18h 53m 44s;+36°58,3';5,6;;;;;;CDSA
DBL0231;WDS18545+3654,Delta 2 Lyr,ES2028,BD+36 03319,Delta Lyrae Cluster,HIP92791,HD175588,12 Lyr;Dbl;18h 54m 30s;+36°53,9';4,3;11,2;86,3;349;M4II;;WDS
DBL0232;Otto Struve 525,HR7140,SAO67566,HD175635;Mult;18h 54m 52s;+33°58,1';6,0;7,0;45,4;;;;AL|RASC
DBL0233;The Ser,63 Ser,SAO124068,HR7141,HD175638,Theta 1 Ser,Alya,STF 2417,WDS18562+0412,Theta Ser,STF2417,BD+04 03916,HIP92951,CCDM18563+0413,HD175639,BD+04 3917;Triple;18h 56m 13s;+04°12,2';4,6;5,0;22,2;106;A5V;A5Vn;AL|RASC|CDSA|WDS
DBL0234;15 Aql,SAO142996,HD177463,HR7225,Sh 286,WDS19050-0402,SHJ286,BD-04 04684,HIP93717,ASCC1245653;Dbl;19h 04m 58s;-04°01,8';5,4;7,0;38,5;211;K0IV;;RASC|CDSA|WDS
DBL0235;Gam Cra,SAO 210928;Dbl+Var Star;19h 06m 25s;-37°03,7';4,9;;;;;;CDSA
DBL0236;HR7294,SAO48193,HD179958;Mult;19h 12m 05s;+49°51,3';6,6;6,8;8,1;;;;RASC
DBL0237;WDS19153+1505,STTA178,BD+14 03846,CCDM19153+1505,HD180262;Dbl;19h 15m 20s;+15°05,0';5,7;7,6;89,6;267;G8II-III;;WDS
DBL0238;WDS19287+2440,Alpha Vul,STFA42,BD+24 03759,Anser;Dbl;19h 28m 42s;+24°39,8';4,6;5,9;427,7;28;M0III;;WDS
DBL0239;Bet Cyg,6 Cyg,SAO87301,HR7417,HD183912,SAO 87301,WDS19307+2758,STFA43,Albireo;Triple;19h 30m 43s;+27°57,5';3,1;5,1;34,7;53;K3II;B9.5;AL|CDSA|WDS
DBL0240;WDS19373+1628,Epsilon Sge,H626,BD+16 03918;Dbl;19h 37m 17s;+16°27,7';5,8;8,4;87,4;82;G9III;;WDS
DBL0241;V340 Sge,SAO105104,HD185622,HR7475;Dbl;19h 39m 25s;+16°34,2';6,4;9,1;31,8;;;;RASC
DBL0242;WDS19407-1618,54 Sgr,HJ599,BD-16 05400;Dbl;19h 40m 43s;-16°17,5';5,4;7,7;45,5;41;K2III;F8V;WDS
DBL0243;16 Cyg,SAO 31899,WDS19418+5032,STFA46,BD+50 02847;Dbl;19h 41m 52s;+50°31,0';6,2;6,2;40,0;133;G1.5V;;CDSA|WDS
DBL0244;Del Cyg,STF 2579;Dbl;19h 44m 59s;+45°07,8';2,9;;;;;;CDSA
DBL0245;HR7529,SAO68805,HD186901;Mult;19h 45m 40s;+36°05,4';6,4;6,9;14,8;;;;RASC
DBL0246;57 Aql,SAO143898,HR7593,HD188293,STF 2594,WDS19546-0814,57 Aqu,STF2594,CCDM19546-0814,BD-08 5154,HIP97966;Dbl;19h 54m 38s;-08°13,6';5,7;6,5;35,7;171;B7Vn;B8V;AL|RASC|CDSA|WDS
DBL0247;WDS20041+1704,15 Sge,STT592,BD+16 04119;Dbl;20h 04m 06s;+17°04,2';5,9;6,9;217,0;335;G1V;;WDS
DBL0248;Kappa Cep,SAO9665,HD192907,kap Cep,1 Cep,HR7750;Triple;20h 08m 53s;+77°42,6';4,4;8,2;7,3;;;;RASC
DBL0249;Theta Sge,SAO88276,HD191570,the Sge,17 Sge,HR7705,WDS20099+2055,Theta Cyg,STF2637,BD+20 04452;Mult;20h 09m 57s;+20°54,9';6,5;7,1;83,9;222;F3V;F5IV;RASC|WDS
DBL0250;31 Cyg,SAO49337,HR7735,HD192577,WDS20136+4644,STFA50;Mult;20h 13m 38s;+46°44,4';3,8;4,8;337,5;322;K2II;;AL|WDS
DBL0251;o-1 Cyg,STF I 50;Mult;20h 14m 00s;+46°44,0';3,8;;;;;;CDSA
DBL0252;WDS20145+3648,29 Cyg,ENG72,BD+36 03955;Dbl;20h 14m 32s;+36°48,3';5,0;6,7;215,3;155;A2V;;WDS
DBL0253;Alpha 1 Cap,SAO163422,HD192876,alp Cap,5 Cap,HR7747,HIP100027,CCDM20176-1231,BD-12 5683;Mult;20h 17m 39s;-12°30,4';4,2;4,6;377,7;355;G3Ib;;RASC|WDS
DBL0254;Alp Cap,6 Cap,SAO163427,HR7754,HD192947,ALDS 88,WDS20181-1233,Alpha Cap,STFA51,Algedi,Giedi;Mult;20h 18m 03s;-12°32,6';3,6;4,0;377,7;290;G9III;;AL|CDSA|WDS
DBL0255;HIP100325,CCDM20210-1447,HD193452,BD-15 5626;Star+Dbl;20h 20m 47s;-14°47,0';6,1;9,1;0,7;75;B9.5III/IV;;WDS
DBL0256;Bet Cap,9 Cap,SAO163481,HR7776,HD193495,Dabih,WDS20210-1447,Beta Cap,STFA52;Mult;20h 21m 01s;-14°46,8';3,1;3,4;205,2;266;F8V;A0;AL|RASC|WDS
DBL0257;WDS20282+8125,75 Dra,STH7,BD+80 00657;Dbl;20h 28m 14s;+81°25,3';5,5;6,7;196,6;282;G9III;;WDS
DBL0258;WDS20289-1749,Rho Cap,SHJ323;Dbl;20h 28m 52s;-17°48,8';5,0;6,7;258,7;150;F3V;;WDS
DBL0259;Omicron Cap,SAO163625,HD195093,omi Cap,12 Cap,HR7829,WDS20299-1835,SHJ324,BD-19 05831,HIP101120,CCDM20299-1835,BD-19 5830;Dbl;20h 29m 53s;-18°35,2';6,7;7,5;21,9;238;A3Vn;A7V;RASC|WDS
DBL0260;HIP101143,CCDM20302+1925,HD195341,BD+18 4515;Star+Dbl;20h 30m 07s;+19°25,8';7,3;7,3;;;B9;;WDS
DBL0261;WDS20302+1925,S752,BD+18 04515;Dbl;20h 30m 14s;+19°25,2';6,8;7,3;106,3;288;B7IV;;WDS
DBL0262;WDS20375+3134,48 Cyg,STFA53,BD+31 04159;Dbl;20h 37m 32s;+31°34,3';6,3;6,5;182,7;177;B8III;F0V;WDS
DBL0263;Gam Del,12 Del,SAO106475,HR7947,HD197963,Gamma 2 Del,STF 2727;Dbl;20h 46m 39s;+16°07,4';5,1;6,1;9,8;;;;AL|RASC|CDSA
DBL0264;Epsilon Equ,SAO126428,HD199766,eps Equ,1 Equ,HR8034;Mult;20h 59m 04s;+04°17,6';5,2;5,5;1,0;;;;RASC
DBL0265;HIP104217,CCDM21069+3844,HD201092,BD+38 4344;Star+Var Star;21h 06m 52s;+38°44,0';6,1;6,2;;;K7V;;WDS
DBL0266;61 Cyg,SAO70919,HR8085,HD201091,STF 2758,WDS21069+3845,STF2758,BD+38 04343;Mult;21h 06m 55s;+38°44,7';5,2;6,0;28,7;154;K5V;K7V;AL|RASC|CDSA|WDS
DBL0267;WDS21103+1008,Gamma Equ,STFA54,BD+09 04735;Dbl;21h 10m 20s;+10°07,9';4,7;6,1;335,0;152;A9V;;WDS
DBL0268;HIP104538,CCDM21104+1007,HD201616,BD+09 4735;Star+Dbl;21h 10m 31s;+10°02,9';6,1;6,1;;;A2Vs;;WDS
DBL0269;HR8101,SAO89505,HD201671;Dbl;21h 10m 32s;+22°27,2';6,7;7,7;18,0;;;;RASC
DBL0270;17911,The Ind,SAO246965,h 5258;Dbl;21h 19m 52s;-53°27,0';4,4;;;;;;CDSA
DBL0271;Bet Cep,8 Cep,SAO10057,HR8238,HD205021,STF 2805;Triple;21h 28m 40s;+70°33,6';3,2;7,8;13,4;;;;AL|CDSA
DBL0272;3 Peg,SAO126940,HD205811,HR8265;Triple;21h 37m 44s;+06°37,0';6,2;7,7;39,2;;;;RASC
DBL0273;Struve 2816,HR8281,SAO33626,HD206267,STF2816,STF 2816;Dbl;21h 39m 00s;+57°29,0';5,7;8,1;11,8;;;;AL|RASC|CDSA
DBL0274;WDS21434+3817,79 Cyg,S799,BD+37 04408;Dbl;21h 43m 26s;+38°17,0';5,7;7,0;149,5;60;A0V;;WDS
DBL0275;WDS21441+2845,Mu Cyg,STF2822,HIP107310;Dbl;21h 44m 09s;+28°44,5';4,8;6,9;197,0;43;F6V;F2V;WDS
DBL0276;Eps Peg,8 Peg,SAO127029,HR8308,HD206778,S 798,WDS21442+0953,Epsilon Peg,S798,BD+09 04890,Enif;Triple;21h 44m 11s;+09°52,5';2,4;8,5;142,5;318;K2Ib;F8;AL|CDSA|WDS
DBL0277;HR8357,SAO33819,HD208095,STF2840,STF 2840;Triple;21h 52m 01s;+55°47,8';5,7;6,7;18,3;;;;RASC|CDSA
DBL0278;Xi Cep,17 Cep,SAO19827,HR8417,HD209790,Alkurhah,Kurhah,STF 2863;Triple;22h 03m 47s;+64°37,6';4,3;6,3;7,7;;;;AL|RASC|CDSA
DBL0279;HIP109352,Pi 1 Peg,CCDM22092+3310,HD210354,BD+32 4349;Star+Dbl;22h 09m 14s;+33°10,3';5,6;5,6;;;G6III:;;WDS
DBL0280;HIP109410,Pi 2 Peg,HD210459,BD+32 4352;Star;22h 09m 59s;+33°10,6';4,3;5,6;573,0;268;F5III;;WDS
DBL0281;HIP110541,CCDM22236+2051,BD+20 5138;Star+Dbl;22h 23m 35s;+20°51,8';8,5;10,7;0,4;73;F0;;WDS
DBL0282;WDS22237+2051,33 Peg,STF2900,BD+20 05138;Dbl;22h 23m 40s;+20°50,8';6,3;8,5;92,7;306;F7V;;WDS
DBL0283;WDS22279+0442,35 Peg,ENG85,BD+03 04710;Dbl;22h 27m 52s;+04°41,7';4,9;10,0;80,5;227;K0III;;WDS
DBL0284;Zet Aqr,55 Aqr,SAO146107,HR8558,HD213051,STF 2909;Triple;22h 28m 50s;-00°01,2';4,6;4,8;1,8;;;;AL|CDSA
DBL0285;Del Cep,27 Cep,SAO34508,HR8571,HD213306,ALDS97,WDS22292+5825,Delta Cep,STFA58,BD+57 02547;Triple;22h 29m 10s;+58°24,9';3,8;6,2;40,8;191;F5Iab;B7;AL|CDSA|WDS
DBL0286;8 Lac,SAO72509,HR8603,HD214168,STF 2922;Mult;22h 35m 52s;+39°38,0';5,7;6,4;22,4;;;;AL|RASC|CDSA
DBL0287;10 Lac,SAO72575,HD214680,HR8622;Dbl;22h 39m 16s;+39°03,0';4,9;10,1;62,2;;;;RASC
DBL0288;94 Aqr,SAO165625,HR8866,HD219834,STF 2998;Triple;23h 19m 07s;-13°27,5';5,1;7,5;0,2;;;;AL|CDSA
DBL0289;Sig Cas,8 Cas,SAO35947,HR9071,HD224572,STF 3049;Triple;23h 59m 01s;+55°45,3';4,9;7,1;2,8;;;;AL|CDSA
