Name;Type;RA;Dec;Mag;Mag 2;Sep
Xi Boo,37 Boo,SAO101250,HR5544,HD131156;Mult;14h 51m 23s;+19°06,0';4,5;6,7;7,2
Del Boo,49 Boo,SAO64589,HR5681,HD135722;Dbl;15h 15m 30s;+33°18,8';3,5;7,9;104,9
Mu Boo,51 Boo,SAO64686,HR5733,HD137391;Triple;15h 24m 29s;+37°22,6';4,3;6,5;108,9
Del Ser,13 Ser,SAO101623,HR5788,HD138917;Mult;15h 34m 48s;+10°32,2';3,8;4,9;3,9
Zet CrB,7 CrB,SAO64833,HR5833,HD139891;Dbl;15h 39m 22s;+36°38,2';6,0;7,0;6,4
Xi Sco,SAO159665,HR5977,HD144069;Mult;16h 04m 22s;-11°22,3';5,1;5,3;1,2
Struve 1999;Dbl;16h 04m 24s;-11°27,0';7,4;8,0;10,5
Bet Sco,8 Sco,SAO159682,HR5984,HD144217;Mult;16h 05m 26s;-19°48,3';2,6;3,9;
Kap Her,7 Her,SAO101951,HR6008,HD145001;Triple;16h 08m 04s;+17°02,8';5,0;6,2;28,1
Nu Sco,14 Sco,SAO159763,HR6026,HD145501;Mult;16h 11m 59s;-19°27,0';6,3;8,8;41,1
Sig CrB,17 CrB,SAO65165,HR6063,HD146361;Mult;16h 14m 41s;+33°51,5';5,6;6,6;6,4
16 Dra,SAO30012,HR6184,HD150100;Mult;16h 36m 12s;+52°54,0';5,5;5,5;90,3
Mu Dra,21 Dra,SAO30239,HR6369,HD154905;Triple;17h 05m 20s;+54°28,2';5,8;5,9;2,0
Alp Her,64 Her,SAO102680,HR6406,HD156014;Mult;17h 14m 39s;+14°23,4';3,5;5,7;4,9
Del Her,65 Her,SAO84951,HR6410,HD156164;Mult;17h 15m 02s;+24°50,3';3,1;8,7;8,5
36 Oph,SAO185199,HR6401,HD155885;Mult;17h 15m 21s;-26°36,1';5,1;5,1;4,6
Omi Oph,39 Oph,SAO185238,HR6424,HD156349;Dbl;17h 18m 01s;-24°17,2';5,2;6,7;10,2
Rho Her,75 Her,SAO66000,HR6484,HD157778;Triple;17h 23m 41s;+37°08,8';5,5;6,5;4,2
Nu Dra,24 Dra,SAO30447,HR6554,HD159541;Dbl;17h 32m 11s;+55°11,0';4,9;4,9;62,3
Psi Dra,31 Dra,SAO8890,HR6636,HD162003;Mult;17h 41m 56s;+72°08,9';4,6;5,8;30,2
40 Dra,SAO8994,HR6809,HD166865;Triple;18h 00m 03s;+80°00,0';6,0;6,4;19,3
95 Her,SAO85647,HR6729,HD164668;Dbl;18h 01m 30s;+21°35,7';5,2;5,3;6,3
70 Oph,SAO123107,HR6752,HD165341;Mult;18h 05m 27s;+02°30,0';4,0;5,8;1,9
Eps Lyr,4 Lyr,SAO67310,HR7051,HD173582;Mult;18h 44m 20s;+39°40,2';5,1;5,1;209,3
Zet Lyr,6 Lyr,SAO67321,HR7056,HD173648;Mult;18h 44m 46s;+37°36,3';4,4;5,8;43,7
Bet Lyr,10 Lyr,SAO67451,HR7106,HD174638;Mult;18h 50m 05s;+33°21,7';3,5;8,7;45,7
Struve 2404;Dbl;18h 50m 48s;+10°59,0';6,9;8,0;3,6
Otto Struve 525;Mult;18h 54m 52s;+33°58,1';6,0;7,0;45,4
The Ser,63 Ser,SAO124068,HR7141,HD175638;Triple;18h 56m 13s;+04°12,2';4,6;5,0;22,2
Bet Cyg,6 Cyg,SAO87301,HR7417,HD183912;Triple;19h 30m 43s;+27°57,5';3,1;5,1;34,7
57 Aql,SAO143898,HR7593,HD188293;Dbl;19h 54m 38s;-08°13,6';5,7;6,5;35,7
31 Cyg,SAO49337,HR7735,HD192577;Mult;20h 13m 38s;+46°44,4';3,8;4,8;337,5
Alp Cap,6 Cap,SAO163427,HR7754,HD192947;Mult;20h 18m 03s;-12°32,6';3,6;4,0;377,7
Bet Cap,9 Cap,SAO163481,HR7776,HD193495;Mult;20h 21m 01s;-14°46,8';3,1;3,4;
Gam Del,12 Del,SAO106475,HR7947,HD197963;Dbl;20h 46m 39s;+16°07,4';5,1;6,1;9,8
61 Cyg,SAO70919,HR8085,HD201091;Mult;21h 06m 55s;+38°44,7';5,2;6,0;28,7
Bet Cep,8 Cep,SAO10057,HR8238,HD205021;Triple;21h 28m 40s;+70°33,6';3,2;7,8;13,4
Struve 2816;Dbl;21h 39m 00s;+57°29,0';5,7;8,1;11,8
Eps Peg,8 Peg,SAO127029,HR8308,HD206778;Triple;21h 44m 11s;+09°52,5';2,4;8,5;142,5
Xi Cep,17 Cep,SAO19827,HR8417,HD209790;Triple;22h 03m 47s;+64°37,6';4,3;6,3;7,7
Zet Aqr,55 Aqr,SAO146107,HR8558,HD213051;Triple;22h 28m 50s;-00°01,2';4,6;4,8;1,8
Del Cep,27 Cep,SAO34508,HR8571,HD213306;Triple;22h 29m 10s;+58°24,9';3,8;6,2;40,8
8 Lac,SAO72509,HR8603,HD214168;Mult;22h 35m 52s;+39°38,0';5,7;6,4;22,4
94 Aqr,SAO165625,HR8866,HD219834;Triple;23h 19m 07s;-13°27,5';5,1;7,5;0,2
Sig Cas,8 Cas,SAO35947,HR9071,HD224572;Triple;23h 59m 01s;+55°45,3';4,9;7,1;2,8
