ID;Name;Type;RA;Dec;Mag;Mag 2;Sep;PosAngle;Catalogue;Spect
ASCC921777;HD286909;Star+Var Star+Dbl;04h 35m 35s;+10°10,2';7,8;;;;ASCC;G0
HIP20885;Theta 1 Tau, CCDM04286+1554, HD28307, BD+15  631;Star;04h 28m 34s;+15°57,7';3,8;;;;Hipparcos;G7III
WDS04287+1552;Theta 2 Tau, STFA10, BD+15 00632;Dbl;04h 28m 40s;+15°52,2';3,4;3,9;336,9;347;WDS2024_08;A7III
WDS04393+1555;Sigma 2 Tau, STFA11, BD+15 00666;Dbl;04h 39m 17s;+15°55,0';4,7;5,1;444,0;194;WDS2024_08;A5Vn+A4m
HIP21673;Sigma 1 Tau, CCDM04392+1552, HD29479, BD+15  665;Star+Dbl;04h 39m 09s;+15°48,0';5,1;5,1;;;Hipparcos;A4m
WDS04254+2218;Kappa Tau, STF541, BD+21 00642;Dbl;04h 25m 22s;+22°17,6';4,2;5,3;339,4;174;WDS2024_08;A7IV/V
HIP20641;CCDM04254+2215, HD27946, BD+21  643;Star;04h 25m 25s;+22°12,0';5,3;;;;Hipparcos;A7V
WDS04240+2418;62 Tau, STF534, BD+23 00684;Dbl;04h 24m 00s;+24°18,0';6,4;7,9;29,1;291;WDS2024_08;B3V+A1V
HIP20531;CCDM04240+2419, BD+23  683;Star+Dbl;04h 23m 58s;+24°18,2';8,2;8,2;;;Hipparcos;A1Vp
ASCC659124;HD283576;Star+Dbl;04h 20m 18s;+27°20,8';7,6;;;;ASCC;F8
WDS04204+2721;Phi Tau, SHJ40, BD+27 00655;Dbl;04h 20m 21s;+27°21,0';5,1;7,5;48,7;259;WDS2024_08;K2III
WDS04422+2257;Tau Tau, S455, BD+22 00737;Dbl;04h 42m 15s;+22°57,4';4,2;7,0;62,5;214;WDS2024_08;B3V
ASCC750298;HD284659;Star+Var Star+Dbl;04h 42m 12s;+22°56,5';7,1;;;;ASCC;A0
WDS02358+3441;15 Tri, AG304, BD+34 00469;Dbl;02h 35m 47s;+34°41,2';5,6;6,8;142,4;16;WDS2024_08;M3IIIa
HIP12091;CCDM02358+3442, HD16070, BD+34  471;Star;02h 35m 50s;+34°43,5';6,7;;;0;Hipparcos;A5
WDS11037+6145;Alpha Uma,BU1077,Dubhe;Dbl;11h 03m 44s;+61°45,0';2,0;7,2;384,5;206;WDS2024_08;G9III
ASCC128129;HD95638;Star+Var Star;11h 03m 22s;+61°39,2';7,1;;;;ASCC;F8
WDS12021+4303;67 Uma, FOR1, BD+43 02179;Dbl;12h 02m 07s;+43°02,7';5,2;6,7;274,4;62;WDS2024_08;A7m
HIP58708;CCDM12021+4304, HD104556, BD+43 2182;Star;12h 02m 29s;+43°05,1';6,6;;;;Hipparcos;G8Vw...
HIP58648;CCDM12021+4304, HD104425, BD+43 2177;Star+Dbl+Var Star;12h 01m 33s;+43°02,5';8,9;9,1;0,6;86;Hipparcos;F6II
HIP58698;CCDM12021+4304, HD104526, BD+43 2180;Star;12h 02m 21s;+43°08,4';8,3;;;;Hipparcos;K0V
WDS11551+4629;65 Uma, STF1579, BD+47 01914;Dbl;11h 55m 06s;+46°28,6';6,7;7,0;62,9;114;WDS2024_08;A3Vn
HIP58117;CCDM11551+4629, HD103498, BD+47 1914;Star;11h 55m 11s;+46°28,1';7,0;;;;Hipparcos;A1spe...
WDS13239+5456;Zeta Uma, STF1744,Mizar;Dbl;13h 23m 55s;+54°55,5';2,2;4,0;715,5;73;WDS2024_08;A1VpSrSi
HIP65477;Alcor, CCDM13240+5456, HD116842, BD+55 1603;Star+Var Star;13h 25m 13s;+54°59,2';4,0;4,1;;;Hipparcos;A5V SB
HIP65355;CCDM13237+0243, HD116443, BD+03 2766;Star+Dbl;13h 23m 41s;+02°43,4';7,3;7,3;;;Hipparcos;G5
WDS13237+0243;STF1740, BD+03 02765;Dbl;13h 23m 39s;+02°43,3';7,1;7,4;26,3;74;WDS2024_08;G5V+G5V
WDS13284+1347;70 Vir, STT579, BD+14 02621;Dbl;13h 28m 26s;+13°46,7';5,0;8,7;268,6;127;WDS2024_08;G2V+K0II
HIP65749;CCDM13285+1346, BD+14 2622;Star;13h 28m 41s;+13°44,0';8,6;;;0;Hipparcos;K0II
