ID;Name;Type;RA;Dec;Mag;Mag 2;Sep;PosAngle;Catalogue;Spect
WDS06045+5134;35 Cam, STT128, BD+51 01146, CCDM06045+5135, HD40873;Dbl;06h 04m 29s;+51°34,4';6,4;9,3;39,5;14;WDS2024_08;A7III
Gaia DR3 972093352697231360;AG+51 535, TYC 3386-938-1, ADS 4633 BC, CCDM J06045+5135BC, WDS J06045+5134BC, SAO 25549;Star;06h 04m 30s;+51°35,0';9,3;;;;User;A5
HD234121;ASCC259623, WDS J14162+5122B, ADS  9198 B, BD+52  1785, CCDM J14162+5122B;Star+Var Star+Dbl;14h 16m 12s;+51°22,5';7,5;;;;ASCC;K1V
WDS14162+5122;Iota Boo, STFA26, BD+52 01784, HIP69713, HD125161,  21 Boo;Dbl;14h 16m 10s;+51°22,0';4,8;7,4;38,8;33;WDS2024_08;A7IV+K0V
HIP70781;CCDM14285+2817, HD127043, BD+28 2331;Star+Dbl;14h 28m 31s;+28°17,3';7,6;7,6;;;Hipparcos;A1V
WDS14286+2817;STF1850, BD+28 02332, CCDM14285+2817, HD127067;Dbl;14h 28m 33s;+28°17,4';7,1;7,6;25,5;261;WDS2024_08;A1V+A1V
WDS15155+3319;Delta Boo, STFA27, BD+33 02561, HIP74666, HD135722,  49 Boo;Dbl;15h 15m 30s;+33°18,8';3,6;7,9;104,7;78;WDS2024_08;G8III+G0V
HIP74674;CCDM15156+3319, BD+33 2562;Star;15h 15m 38s;+33°19,2';7,8;;;;Hipparcos;G0Vvar
WDS12492+8325;32 Cam, HIP27949, HD39283, Xi Aur, 30 Aur, BD+55 1027, STF1694, BD+84 00290;Dbl;12h 49m 14s;+83°24,7';5,3;5,7;21,8;324;WDS2024_08;A1IIIsh
ASCC36204;HIP62561, HD112014;Star+Var Star+Dbl;12h 49m 07s;+83°25,0';5,8;;;;ASCC;A0V
WDS05061+5858;11 Cam, STFA13, BD+58 00804, HIP23734, HD32343;Dbl;05h 06m 08s;+58°58,3';5,2;6,2;177,7;10;WDS2024_08;B2.5Ve
ASCC178370;12 Cam, HIP23743, HD32357;Star+Var Star+Dbl;05h 06m 12s;+59°01,2';6,1;;;;ASCC;K0III
WDS05034+6027;Beta Cam, S459, BD+60 00856, HIP23522, HD31910, 10 Cam, ASCC118306;Dbl;05h 03m 25s;+60°26,5';4,1;7,4;84,2;209;WDS2024_08;G1I+A5
ASCC118301;HD31911;Star+Var Star+Dbl;05h 03m 20s;+60°25,3';7,4;;;;ASCC;A5
WDS00405+5632;H518, BD+55 00138,Shedar;Dbl;00h 40m 30s;+56°32,2';2,3;9,0;70,9;283;WDS2024_08;K0
ASCC158268;HD236494;Star+Dbl;00h 40m 22s;+56°32,4';8,9;;;;ASCC;K0
WDS01201+5814;Phi Cas, H323, BD+57 00257;Dbl;01h 20m 05s;+58°13,8';5,1;7,0;134,1;231;WDS2024_08;B5
HIP6229;CCDM01200+5813, HD7902, BD+57  257;Star+Var Star;01h 19m 52s;+58°12,4';7,1;7,1;;;Hipparcos;B6Ib
WDS00141+7601;STTA1, BD+75 00004;Dbl;00h 14m 03s;+76°01,6';7,4;7,8;73,2;103;WDS2024_08;M
HIP1150;CCDM00142+7601, HD947, BD+75    5;Star;00h 14m 22s;+76°01,3';7,7;;;;Hipparcos;G5
WDS01144-0755;37 Cet, STFA3, BD-08 00216;Dbl;01h 14m 24s;-07°55,3';5,2;7,8;49,4;331;WDS2024_08;F6V+G9V
ASCC1266251;HD7438;Star+Var Star+Dbl;01h 14m 22s;-07°54,6';7,8;;;;ASCC;K1
WDS01496-1041;Chi Cet, ENG8, BD-11 00352;Dbl;01h 49m 35s;-10°41,1';4,7;6,8;184,1;250;WDS2024_08;F0V+G3V
HIP8486;CCDM01495-1042, HD11131, BD-11  351;Star+Dbl;01h 49m 23s;-10°42,1';6,7;6,7;;;Hipparcos;G0
WDS07247-3149;DUN47, CD-31 04481;Dbl;07h 24m 44s;-31°48,5';5,4;7,6;97,1;344;WDS2024_08;B8V
ASCC1734962;HD58534;Star+Dbl;07h 24m 42s;-31°47,0';7,6;;;;ASCC;A0
HIP35213;CCDM07166-2319, HD56578, BD-23  118, CD-23  5192, CPD-23  2015;Star+Dbl;07h 16m 38s;-23°18,6';6,0;6,0;;;Hipparcos;A5m...
WDS07166-2319;HJ3945, CD-23 05189;Dbl;07h 16m 37s;-23°18,9';5,0;5,8;26,5;50;WDS2024_08;K3Ib+dF0
ASCC1642473;HD58324;Star+Dbl;07h 23m 53s;-29°17,3';6,8;;;;ASCC;A0
WDS07241-2918;Eta CMa, SMY2, CD-29 04328,Aludra;Dbl;07h 24m 06s;-29°18,1';2,5;6,8;177,0;287;WDS2024_08;B5Ia
WDS07583+0213;14 CMi, SHJ87, BD+02 01833;Dbl;07h 58m 21s;+02°13,4';5,4;9,4;100,1;84;WDS2024_08;K0III
WDS07583+0213;SHJ87, BD+02 01835;Dbl;07h 58m 27s;+02°13,6';9,4;9,9;127,9;193;WDS2024_08;A0
WDS08467+2846;Iota Cnc, STF1268, BD+29 01824, HIP43103, HD74739, 48 Cnc, ASCC678182;Dbl;08h 46m 42s;+28°45,5';4,1;6,0;30,6;308;WDS2024_08;G8III+A2V
HIP43100;CCDM08467+2846, HD74738, BD+29 1823;Star+Dbl;08h 46m 40s;+28°45,9';6,6;;;;Hipparcos;A2V
WDS12225+2551;12 Com, SHJ143, BD+26 02338;Dbl;12h 22m 30s;+25°50,7';4,9;8,9;64,9;168;WDS2024_08;G0III-+A3
ASCC684794;;Star+Var Star+Dbl;12h 22m 31s;+25°49,7';8,9;;;;ASCC;G
WDS12289+2555;17 Com, STFA21, BD+26 02354;Dbl;12h 28m 55s;+25°54,7';5,2;6,6;146,4;251;WDS2024_08;A0p
HIP60891;CCDM12289+2554, HD108651, BD+26 2353;Star;12h 28m 45s;+25°54,0';6,6;;;;Hipparcos;A0p
WDS17592+6409;STF2273, BD+64 01237;Dbl;17h 59m 14s;+64°08,5';7,3;7,6;21,4;282;WDS2024_08;F4V+F5V
HIP88062;CCDM17592+6409, HD164983;Star+Dbl;17h 59m 11s;+64°08,6';7,7;7,7;;;Hipparcos;F2
WDS18002+8000;41 Dra, STF2308, BD+79 00571;Dbl;18h 00m 09s;+80°00,2';5,7;6,0;18,9;232;WDS2024_08;F7V+F7V
HIP88127;CCDM18002+8000, HD166865, BD+79  570;Star+Dbl;18h 00m 03s;+80°00,0';6,1;6,1;;;Hipparcos;K2Vvar
HIP81290;CCDM16362+5255, HD150100, BD+53 1875;Star;16h 36m 11s;+52°54,0';5,5;;;;Hipparcos;B9.5Vn
WDS16362+5255;17 Dra, STFA30, BD+53 01875;Dbl;16h 36m 14s;+52°55,4';5,4;5,5;90,2;193;WDS2024_08;B9V
WDS17419+7209;Psi Dra, 31 Dra, STF2241, BD+72 00804,Dziban;Dbl;17h 41m 56s;+72°08,9';4,6;5,6;30,2;16;WDS2024_08;F5IV+F8V
HIP86620;CCDM17420+7209, HD162004, BD+72  805;Star+Dbl;17h 41m 58s;+72°09,4';5,8;5,8;;;Hipparcos;G0V
HIP87728;HD164613, BD+72  818;Star;17h 55m 11s;+72°00,3';5,4;;3705,0;96;Hipparcos;F2.5II-III
ASCC82841;5 Dra, HIP61281, HD109387, Kappa Dra;Star+Var Star;12h 33m 29s;+69°47,2';3,9;;926,0;25;ASCC;B6IIIp
ASCC35716;6 Dra, HIP61384, HD109551;Star+Var Star+Dbl;12h 34m 44s;+70°01,3';4,9;;;;ASCC;K2III
WDS20282+8125;75 Dra, STH7, BD+80 00657;Dbl;20h 28m 14s;+81°25,3';5,5;6,7;196,6;282;WDS2024_08;G9III
HIP100843;CCDM20282+8126, HD196565, BD+80  657;Star;20h 26m 48s;+81°26,0';6,6;;;;Hipparcos;K0
WDS04564-0510;62 Eri, SHJ48, BD-05 01091;Dbl;04h 56m 24s;-05°10,2';5,5;8,9;66,1;76;WDS2024_08;B6V
Gaia DR3 3212297162705983104;BD-05 1093, CCDM J04564-0510B, TYC 4745-1842-1;Star;04h 56m 28s;-05°10,0';;;;;User;B8
WDS06290+2013;Nu Gem, STTA77, BD+20 01441;Dbl;06h 28m 58s;+20°12,7';4,1;8,0;112,8;330;WDS2024_08;B6IIIe
ASCC760235;HD257937;Star+Dbl;06h 28m 54s;+20°14,3';8,0;;;;ASCC;A0
WDS06323+1747;20 Gem, STF924, BD+17 01286;Dbl;06h 32m 19s;+17°47,0';6,3;6,9;19,9;211;WDS2024_08;F8III
