nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 524,UGC 968,21.19917,9.53917,136.34,1.0,0,10.4,4.0,0.6,0,0.0
NGC 533,UGC 992,21.38125,1.75972,57.83,0.617,50,11.51,4.0,1.0,0,0.0
NGC 578,ESO 476- 15,22.6175,-22.66583,85.33,0.631,110,10.89,1.0,0.15,0,1.86
NGC 584,MCG -1- 4- 60,22.83708,-6.86833,33.66,0.55,55,10.54,4.0,1.0,0,4.24
NGC 596,MCG -1- 5- 5,23.21708,-7.0325,34.05,0.646,30,10.94,4.0,1.0,0,0.0
NGC 600,MCG -1- 5- 7,23.27292,-7.31278,54.82,0.851,0,12.37,1.0,0.08,0,1.27
NGC 598,UGC 1117,23.46208,30.66028,1116.19,0.589,23,5.72,1.0,0.08,0,0.0
NGC 613,ESO 413- 11,23.57292,-29.41611,79.64,0.759,120,9.98,1.0,0.15,0,7.62
NGC 625,ESO 297- 5,23.77167,-41.43639,70.2,0.331,92,11.16,1.0,0.03,1,1.27
NGC 615,MCG -1- 5- 8,23.77417,-7.34083,40.31,0.398,155,11.72,1.0,0.3,0,5.64
NGC 630,ESO 297- 9,23.90292,-39.36,15.93,0.851,0,11.61,4.0,1.0,0,0.0
NGC 628,UGC 1149,24.17375,15.78333,170.26,0.912,25,9.4,1.0,0.15,0,2.1
NGC 636,MCG -1- 5- 13,24.7775,-7.51306,22.24,0.759,0,11.51,4.0,1.0,0,0.0
NGC 642,ESO 413- 14,24.77833,-29.915,29.39,0.562,31,12.33,1.0,0.15,0,0.0
NGC 660,UGC 1201,25.75958,13.64444,199.25,0.38,170,11.27,1.0,0.5,0,4.01
A 0143-43,ESO 245- 5,26.26583,-43.59806,65.55,0.871,122,12.15,1.0,0.03,0,1.05
IC 1727,UGC 1249,26.87792,27.33083,139.86,0.447,150,11.52,1.0,0.03,0,1.08
NGC 685,ESO 152- 24,26.92958,-52.76111,94.65,0.891,0,10.95,1.0,0.15,0,1.75
NGC 672,UGC 1256,26.97292,27.43361,118.39,0.355,65,10.92,1.0,0.08,0,1.19
NGC 681,MCG -2- 5- 52,27.29542,-10.42778,42.0,0.631,60,12.07,1.0,0.3,0,2.7
NGC 680,UGC 1286,27.4475,21.97056,15.74,0.832,0,12.0,4.0,1.0,0,7.41
NGC 691,UGC 1305,27.67375,21.75972,83.39,0.759,95,11.49,1.0,0.15,0,3.02
NGC 701,MCG -2- 5- 60,27.76625,-9.70389,37.65,0.479,40,12.27,1.0,0.15,0,1.77
NGC 697,UGC 1317,27.82208,22.35889,58.22,0.331,105,12.29,1.0,0.15,1,0.0
NGC 720,MCG -2- 5- 68,28.25167,-13.73917,50.36,0.513,140,10.26,4.0,1.0,0,0.0
