nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 1587,UGC 3063,67.665,0.66194,24.95,0.871,144,11.8,4.0,1.0,0,0.0
NGC 1589,UGC 3065,67.69125,0.86389,52.99,0.324,160,12.05,1.0,0.3,1,0.0
NGC 1569,UGC 3056,67.70958,64.84639,37.78,0.49,120,11.31,1.0,0.03,0,0.0
NGC 1617,ESO 157- 41,67.915,-54.60139,65.4,0.49,107,10.63,1.0,0.5,0,0.0
NGC 1600,MCG -1-12- 17,67.91625,-5.08778,55.22,0.676,15,11.03,4.0,1.0,0,0.0
NGC 1560,UGC 3060,68.20833,71.88111,177.58,0.174,23,11.61,1.0,0.08,1,0.0
NGC 1573,UGC 3077,68.75958,73.26333,39.55,0.692,35,11.91,4.0,1.0,0,0.0
NGC 1625,MCG -1-12- 38,69.27667,-3.30444,72.11,0.24,140,12.22,1.0,0.3,1,0.0
NGC 1637,MCG 0-12- 68,70.3675,-2.85833,75.18,0.813,0,10.92,1.0,0.15,0,3.22
NGC 1638,UGC 3133,70.40083,-1.80889,81.21,0.741,70,12.01,4.0,0.6,0,0.0
NGC 1640,ESO 551- 27,70.56,-20.43528,43.48,0.776,45,11.67,1.0,0.3,0,4.16
NGC 1672,ESO 118- 43,71.42583,-59.24917,107.96,0.832,170,9.53,1.0,0.3,0,12.13
NGC 1653,UGC 3153,71.44833,-2.39139,20.28,1.0,0,12.03,4.0,1.0,0,0.0
NGC 1667,MCG -1-13- 13,72.15417,-6.32028,23.77,0.776,0,12.22,1.0,0.15,0,0.0
NGC 1703,ESO 119- 19,73.21667,-59.7425,65.8,0.891,0,11.15,1.0,0.3,0,2.11
NGC 1705,ESO 158- 13,73.55667,-53.36222,13.56,0.741,50,11.87,4.0,1.0,0,0.0
NGC 1700,MCG -1-13- 38,74.23417,-4.8675,23.29,0.631,90,11.3,4.0,1.0,0,0.0
IC 391,UGC 3190,74.34625,78.18917,10.22,0.955,0,12.45,1.0,0.15,0,0.0
NGC 1726,MCG -1-13- 42,74.925,-7.75556,74.92,0.759,170,11.76,4.0,0.6,0,0.0
NGC 1744,ESO 486- 5,74.99292,-26.02667,120.87,0.537,168,11.05,1.0,0.08,0,1.38
NGC 1809,ESO 56- 48,75.52417,-69.56889,80.27,0.257,143,12.45,1.0,0.15,1,1.44
NGC 1796,ESO 119- 30,75.68,-61.13917,30.36,0.537,102,12.31,1.0,0.08,0,0.0
,ESO 486- 19,75.81875,-22.83222,1.92,0.339,158,11.55,4.0,1.0,0,0.0
NGC 1792,ESO 305- 6,76.31292,-37.97972,47.23,0.501,137,10.12,1.0,0.15,0,0.8
NGC 1784,MCG -2-13- 42,76.36333,-11.87167,56.38,0.631,0,11.89,1.0,0.15,0,0.0
NGC 1824,ESO 119- 36,76.73458,-59.72389,78.31,0.263,160,12.45,1.0,0.03,1,0.98
NGC 1808,ESO 305- 8,76.92833,-37.51417,147.91,0.603,133,9.99,1.0,0.5,0,7.28
NGC 1832,MCG -3-14- 10,78.01417,-15.68778,44.78,0.661,0,11.21,1.0,0.15,0,0.0
NGC 1892,ESO 85- 61,79.28375,-64.96139,49.62,0.282,74,12.28,1.0,0.08,1,1.14
NGC 1888,MCG -2-14- 13,80.64458,-11.49944,49.78,0.269,0,12.28,1.0,0.15,1,0.0
LMC,ESO 56-115,80.89458,-69.75611,8105.31,0.851,170,0.36,1.0,0.03,0,0.0
NGC 1947,ESO 85- 87,81.69792,-63.76139,34.84,0.851,119,10.75,4.0,1.0,0,0.0
NGC 1954,MCG -2-15- 3,83.20083,-14.06389,88.19,0.525,0,11.89,1.0,0.15,0,0.0
NGC 1964,ESO 554- 10,83.33792,-21.9475,47.5,0.38,32,10.83,1.0,0.3,0,0.0
NGC 2082,ESO 86- 21,85.46375,-64.30111,37.87,0.933,0,11.87,1.0,0.3,0,0.0
NGC 1961,UGC 3334,85.51833,69.37944,84.35,0.646,85,11.18,1.0,0.15,0,0.0
NGC 2090,ESO 363- 23,86.76,-34.25139,38.29,0.49,13,11.44,1.0,0.15,0,0.0
NGC 2139,ESO 488- 54,90.28375,-23.67583,37.06,0.741,140,11.44,1.0,0.08,0,0.0
NGC 2191,ESO 160- 14,92.09917,-52.51111,6.11,0.49,118,11.43,4.0,0.6,0,0.0
NGC 2188,ESO 364- 37,92.54,-34.10611,79.17,0.257,175,11.59,1.0,0.03,1,0.0
NGC 2196,ESO 556- 4,93.04208,-21.80667,90.16,0.776,35,11.07,1.0,0.5,0,0.0
NGC 2206,ESO 489- 26,93.99667,-26.765,37.62,0.525,138,12.36,1.0,0.15,0,0.0
NGC 2146,UGC 3429,94.66708,78.35528,104.7,0.562,56,10.63,1.0,0.3,0,0.0
NGC 2217,ESO 489- 42,95.415,-27.23333,85.04,0.933,0,10.81,4.0,0.6,0,0.0
NGC 2280,ESO 427- 2,101.20208,-27.63889,164.97,0.49,163,10.35,1.0,0.08,0,0.0
NGC 2293,ESO 490- 49,101.92875,-26.75306,88.03,0.794,125,11.38,4.0,0.6,0,0.0
NGC 2258,UGC 3523,101.94333,74.48194,75.79,0.676,150,12.1,4.0,0.6,0,0.0
NGC 2305,ESO 87- 44,102.15583,-64.27333,23.02,0.741,142,11.84,4.0,1.0,0,0.0
NGC 2307,ESO 87- 45,102.21292,-64.33361,47.67,0.933,0,12.17,1.0,0.3,0,0.0
NGC 2273,UGC 3546,102.53583,60.84583,54.95,0.759,50,11.8,1.0,0.5,0,0.0
NGC 2310,ESO 309- 7,103.47333,-40.86222,24.33,0.191,47,11.84,4.0,0.6,0,0.0
NGC 2328,ESO 309- 16,105.65292,-42.06917,12.34,0.776,115,11.85,4.0,0.6,0,0.0
NGC 2320,UGC 3659,106.42292,50.58028,48.65,0.575,140,12.0,4.0,1.0,0,5.84
NGC 2339,UGC 3693,107.08625,18.78167,40.84,0.759,175,11.76,1.0,0.15,0,0.0
NGC 2340,UGC 3720,107.79458,50.17417,76.23,0.676,8,11.8,4.0,1.0,0,0.0
NGC 2344,UGC 3734,108.11792,47.16694,38.56,0.977,0,12.26,1.0,0.15,0,0.0
NGC 2268,UGC 3653,108.56542,84.38056,46.36,0.617,63,11.49,1.0,0.15,0,0.0
,ESO 428- 11,108.88,-29.35889,26.74,0.832,0,12.0,4.0,1.0,0,0.0
NGC 2397,ESO 58- 30,110.3375,-69.00194,39.3,0.479,123,11.93,1.0,0.3,0,0.0
NGC 2380,ESO 492- 12,110.98042,-27.52861,89.05,0.933,0,11.37,4.0,0.6,0,0.0
NGC 2336,UGC 3809,111.76875,80.17806,178.07,0.55,178,10.3,1.0,0.15,0,0.0
NGC 2276,UGC 3740,111.8025,85.75556,56.38,0.955,20,11.38,1.0,0.15,0,0.0
NGC 2366,UGC 3851,112.22667,69.21444,201.48,0.407,25,10.98,1.0,0.03,0,0.0
NGC 2417,ESO 123- 15,112.54875,-62.25139,56.38,0.692,81,12.29,1.0,0.15,0,0.0
NGC 2300,UGC 3798,113.08167,85.70889,101.07,0.724,0,11.17,4.0,0.6,0,0.0
,ESO 208- 21,113.48583,-50.44194,30.35,0.708,110,11.29,4.0,1.0,0,0.0
NGC 2434,ESO 59- 5,113.71458,-69.28361,32.52,0.933,0,11.43,4.0,1.0,0,0.0
NGC 2442,ESO 59- 8,114.09958,-69.53056,101.42,0.891,0,10.49,1.0,0.15,0,0.0
NGC 2427,ESO 208- 27,114.11667,-47.63472,71.26,0.417,122,11.78,1.0,0.03,0,0.0
NGC 2403,UGC 3918,114.22708,65.59944,201.82,0.562,127,8.38,1.0,0.08,0,0.0
NGC 2415,UGC 3930,114.23625,35.2425,6.44,1.0,0,12.23,1.0,0.03,0,0.0
NGC 2441,UGC 4036,117.97792,73.01611,26.16,0.871,0,12.25,1.0,0.3,0,0.0
NGC 2460,UGC 4097,119.22,60.35,38.9,0.759,40,11.97,1.0,0.5,0,2.64
NGC 2493,UGC 4150,120.09917,39.83028,60.9,1.0,0,12.1,4.0,0.6,0,0.0
NGC 2500,UGC 4165,120.47333,50.73833,32.53,0.912,0,11.65,1.0,0.08,0,0.92
NGC 2513,UGC 4184,120.60417,9.41278,36.49,0.813,170,11.69,4.0,1.0,0,0.0
NGC 2517,MCG -2-21- 3,120.69667,-12.31861,86.02,0.724,0,11.8,4.0,0.6,0,0.0
NGC 2525,MCG -2-21- 4,121.40875,-11.42806,40.84,0.661,0,11.71,1.0,0.15,0,0.0
NGC 2537,UGC 4274,123.31292,45.99139,26.39,0.851,0,11.77,1.0,0.03,0,0.6
NGC 2541,UGC 4284,123.66792,49.06222,87.82,0.501,165,11.71,1.0,0.08,0,1.7
NGC 2523,UGC 4271,123.74667,73.58028,58.36,0.617,57,11.88,1.0,0.15,0,0.0
NGC 2554,UGC 4312,124.47333,23.47111,84.84,0.741,0,12.0,1.0,0.6,0,0.0
NGC 2566,ESO 495- 3,124.69,-25.4975,67.34,0.676,110,11.08,1.0,0.3,0,0.0
IC 2311,ESO 495- 2,124.69042,-25.37056,23.83,0.912,0,11.6,4.0,1.0,0,0.0
NGC 2549,UGC 4313,124.74333,57.80306,28.75,0.331,177,11.29,4.0,0.6,0,0.0
Holmberg II,UGC 4305,124.775,70.71417,168.44,0.794,15,10.55,1.0,0.03,0,0.0
NGC 2552,UGC 4325,124.83458,50.0075,86.39,0.661,45,12.01,1.0,0.03,0,0.73
A 0820+22,UGC 4375,125.8,22.65,28.22,0.646,0,12.24,1.0,0.15,0,0.0
NGC 2595,UGC 4422,126.92375,21.47861,50.25,0.759,45,12.38,1.0,0.15,0,0.0
NGC 2613,ESO 495- 18,128.34417,-22.97333,121.84,0.245,113,10.41,1.0,0.3,1,0.0
NGC 2639,UGC 4544,130.90833,50.20667,25.45,0.603,140,11.81,1.0,0.5,0,0.0
NGC 2665,ESO 563- 19,131.50542,-19.30333,31.5,0.741,144,12.16,1.0,0.3,0,0.0
NGC 2633,UGC 4574,132.0275,74.09944,27.75,0.631,175,12.15,1.0,0.3,0,17.57
NGC 2634,UGC 4581,132.10458,73.9675,25.53,0.955,0,12.01,4.0,1.0,0,0.0
NGC 2654,UGC 4605,132.30208,60.22028,61.11,0.186,63,11.99,1.0,0.3,1,2.98
NGC 2672,UGC 4619,132.34292,19.075,21.73,0.955,0,11.8,4.0,1.0,0,0.0
NGC 2683,UGC 4641,133.17083,33.4175,102.4,0.234,44,9.89,1.0,0.3,1,1.15
NGC 2681,UGC 4645,133.38792,51.31472,88.61,0.912,0,10.19,1.0,0.6,0,13.01
IC 520,UGC 4630,133.42167,73.49056,45.0,0.794,0,11.8,1.0,0.3,0,0.0
NGC 2695,MCG 0-23- 10,133.61292,-3.0675,51.84,0.692,0,11.93,4.0,0.6,0,0.0
NGC 2685,UGC 4666,133.89667,58.73389,96.93,0.525,38,11.22,4.0,0.6,0,4.19
NGC 2655,UGC 4637,133.91125,78.22444,94.94,0.832,0,10.06,1.0,0.6,0,4.87
NGC 2708,MCG 0-23- 15,134.03333,-3.36083,46.27,0.501,25,12.05,1.0,0.3,0,0.0
NGC 2693,UGC 4674,134.2475,51.3475,24.38,0.692,160,11.94,4.0,1.0,0,0.0
NGC 2713,UGC 4691,134.33583,2.9225,36.69,0.417,107,11.97,1.0,0.3,0,0.0
NGC 2716,UGC 4692,134.40083,3.09056,136.34,0.794,30,11.8,4.0,0.6,0,0.0
NGC 2701,UGC 4695,134.77625,53.76944,37.68,0.741,23,12.18,1.0,0.15,0,1.57
NGC 2712,UGC 4708,134.88,44.91556,47.73,0.55,178,12.0,1.0,0.3,0,6.27
NGC 2749,UGC 4763,136.34,18.31444,36.91,0.832,0,11.81,4.0,1.0,0,0.0
NGC 2763,MCG -2-23- 10,136.70458,-15.49972,34.99,0.871,0,12.09,1.0,0.08,0,0.0
NGC 2742,UGC 4779,136.89208,60.47944,68.86,0.513,87,11.48,1.0,0.15,0,0.71
NGC 2715,UGC 4759,137.02958,78.08639,107.56,0.339,22,11.24,1.0,0.15,1,0.84
NGC 2770,UGC 4806,137.38875,33.12361,70.62,0.302,148,12.22,1.0,0.15,1,0.76
NGC 2775,UGC 4820,137.58542,7.03861,53.49,0.776,155,10.28,1.0,0.3,0,3.49
A 0908-08,MCG -1-24- 1,137.7,-8.9,75.51,0.24,0,11.16,1.0,0.3,1,0.0
NGC 2781,MCG -2-24- 2,137.865,-14.81694,40.92,0.501,85,11.63,4.0,0.6,0,0.0
NGC 2768,UGC 4821,137.90708,60.03944,88.54,0.525,95,9.94,4.0,1.0,0,4.08
NGC 2776,UGC 4838,138.0625,44.95556,40.37,0.891,0,11.59,1.0,0.15,0,1.85
NGC 2784,ESO 497- 23,138.07792,-24.17278,58.54,0.407,73,10.4,4.0,0.6,0,0.0
NGC 2732,UGC 4818,138.35417,79.18722,28.06,0.38,67,12.0,4.0,0.6,0,3.98
NGC 2748,UGC 4825,138.43625,76.47556,25.82,0.38,38,11.65,1.0,0.15,0,1.48
NGC 2782,UGC 4862,138.52292,40.11444,49.54,0.741,0,11.55,1.0,0.5,0,7.45
NGC 2811,MCG -3-24- 3,139.04708,-16.31306,35.06,0.347,25,11.48,1.0,0.5,1,0.0
NGC 2815,ESO 497- 32,139.08167,-23.63444,39.28,0.324,10,12.06,1.0,0.3,1,0.0
NGC 2835,ESO 564- 35,139.47083,-22.35556,115.11,0.661,8,10.46,1.0,0.15,0,0.0
IC 529,UGC 4888,139.63417,73.75861,42.03,0.457,145,12.07,1.0,0.08,0,1.62
NGC 2845,ESO 314- 10,139.65375,-38.01139,83.56,0.501,67,12.17,1.0,0.5,0,0.0
NGC 2787,UGC 4914,139.82875,69.20306,83.1,0.646,117,10.92,4.0,0.6,0,3.73
NGC 2832,MCG 6-21- 15,139.94375,33.75056,28.65,0.794,160,11.97,4.0,1.0,0,0.0
NGC 2848,MCG -3-24- 7,140.04042,-16.52611,63.99,0.617,40,11.8,1.0,0.15,0,0.0
NGC 2805,UGC 4936,140.085,64.10333,156.28,0.759,125,10.97,1.0,0.08,0,3.2
NGC 2855,MCG -2-24- 15,140.36458,-11.90972,39.13,0.891,0,11.73,1.0,0.6,0,0.0
NGC 2841,UGC 4966,140.5075,50.97528,127.07,0.437,147,9.34,1.0,0.3,0,3.84
NGC 2887,ESO 91- 9,140.85042,-63.81222,26.13,0.724,78,11.87,4.0,1.0,0,0.0
NGC 2865,ESO 498- 1,140.87833,-23.16333,14.53,0.741,0,11.67,4.0,1.0,0,0.0
NGC 2859,UGC 5001,141.07875,34.51278,91.12,0.891,85,10.93,4.0,0.6,0,5.5
NGC 2857,UGC 5000,141.15833,49.35556,55.73,0.891,0,12.35,1.0,0.15,0,0.0
NGC 2872,UGC 5018,141.42917,11.43222,18.93,0.871,22,11.96,4.0,1.0,0,0.0
NGC 2889,MCG -2-24- 26,141.8025,-11.64361,33.2,0.871,0,11.89,1.0,0.15,0,0.0
NGC 2880,UGC 5051,142.39625,62.49028,28.32,0.589,140,11.56,4.0,1.0,0,0.0
NGC 2902,MCG -2-24- 30,142.72083,-14.73611,46.2,0.832,0,11.31,4.0,0.6,0,0.0
NGC 2907,MCG -3-25- 2,142.9025,-16.73583,52.48,0.603,0,11.95,1.0,0.5,0,0.0
NGC 2903,UGC 5079,143.04042,21.50056,136.71,0.479,17,8.93,1.0,0.15,0,1.48
,ESO 373- 8,143.33667,-33.0325,61.43,0.151,89,12.25,1.0,0.08,1,0.0
NGC 2911,UGC 5092,143.44375,10.1525,158.35,0.776,140,11.6,4.0,0.6,0,0.0
NGC 2916,UGC 5103,143.73875,21.70583,42.49,0.676,20,11.99,1.0,0.3,0,0.0
NGC 2935,ESO 565- 23,144.18625,-21.12833,53.49,0.776,0,11.35,1.0,0.3,0,0.0
Holmberg I,UGC 5139,145.1,71.18333,123.44,0.813,0,12.45,1.0,0.03,0,0.0
NGC 2962,UGC 5167,145.225,5.16667,74.07,0.741,3,12.06,4.0,0.6,0,7.37
NGC 2967,UGC 5180,145.51583,0.33556,41.79,0.912,65,11.75,1.0,0.15,0,1.12
NGC 2974,MCG 0-25- 8,145.63875,-3.69972,31.78,0.589,40,10.97,4.0,1.0,0,3.82
NGC 2950,UGC 5176,145.65167,58.85222,49.5,0.661,145,10.94,4.0,0.6,0,0.0
NGC 2964,UGC 5183,145.72458,31.8475,38.07,0.55,97,11.24,1.0,0.15,0,1.3
NGC 2968,UGC 5190,145.8,31.92806,23.15,0.692,45,12.23,1.0,0.03,0,3.67
NGC 2983,ESO 566- 3,145.92,-20.47806,65.48,0.589,95,11.86,4.0,0.6,0,0.0
NGC 2986,ESO 566- 5,146.06792,-21.27833,38.65,0.871,105,10.82,4.0,1.0,0,6.08
NGC 2997,ESO 434- 35,146.41417,-31.19111,111.2,0.759,110,9.51,1.0,0.15,0,0.0
NGC 3001,ESO 434- 38,146.57958,-30.43833,30.63,0.676,6,11.97,1.0,0.15,0,0.0
NGC 2976,UGC 5221,146.815,67.91389,102.64,0.457,143,10.27,1.0,0.15,0,0.55
NGC 3003,UGC 5251,147.15,33.42167,89.08,0.234,79,11.58,1.0,0.15,1,2.44
NGC 3059,ESO 37- 7,147.53375,-73.92139,65.48,0.891,0,10.95,1.0,0.15,0,0.0
NGC 2985,UGC 5253,147.58708,72.27917,57.9,0.794,0,10.43,1.0,0.3,0,4.76
NGC 3038,ESO 374- 2,147.81625,-32.755,44.43,0.537,130,11.67,1.0,0.3,0,0.0
NGC 3041,UGC 5303,148.27917,16.67889,49.36,0.646,95,11.75,1.0,0.15,0,1.73
NGC 3044,UGC 5311,148.41583,1.57944,99.05,0.145,13,11.91,1.0,0.15,1,1.65
NGC 3052,ESO 566- 26,148.61667,-18.63944,39.46,0.646,102,12.23,1.0,0.15,0,0.0
NGC 3056,ESO 435- 7,148.6375,-28.29694,58.16,0.631,16,11.67,4.0,0.6,0,0.0
NGC 3055,UGC 5328,148.8225,4.27139,20.96,0.617,63,12.15,1.0,0.15,0,1.8
NGC 3031,UGC 5318,148.88958,69.06667,336.33,0.525,157,7.14,1.0,0.3,0,3.42
NGC 3027,UGC 5316,148.91458,72.20361,121.65,0.468,130,11.63,1.0,0.08,0,2.06
NGC 3034,UGC 5322,148.975,69.6825,137.47,0.38,65,8.75,1.0,0.03,0,2.44
NGC 3067,UGC 5351,149.59167,32.37,39.51,0.38,105,12.03,1.0,0.3,0,1.15
NGC 3078,ESO 499- 27,149.60208,-26.92611,24.95,0.832,177,11.24,4.0,1.0,0,0.0
NGC 3087,ESO 374- 15,149.78667,-34.225,20.28,0.832,0,10.68,4.0,1.0,0,0.0
Leo A,UGC 5364,149.825,30.73333,130.75,0.603,0,12.37,1.0,0.03,0,0.0
NGC 3081,ESO 499- 31,149.87375,-22.825,62.01,0.776,158,11.95,1.0,0.6,0,0.0
IC 2531,ESO 435- 25,149.98208,-29.61528,74.32,0.1,75,12.35,1.0,0.08,1,0.0
Sextans B,UGC 5373,149.99958,5.3325,111.29,0.692,110,11.3,1.0,0.03,0,1.0
NGC 3091,ESO 566- 41,150.05792,-19.63722,41.41,0.631,149,11.23,4.0,1.0,0,0.0
IC 2533,ESO 435- 27,150.13167,-31.24389,15.39,0.724,1,12.05,4.0,1.0,0,0.0
NGC 3100,ESO 435- 30,150.17167,-31.6625,110.73,0.513,154,11.1,4.0,0.6,0,0.0
NGC 3079,UGC 5387,150.4925,55.67861,109.71,0.182,165,10.99,1.0,0.08,1,6.16
NGC 3098,UGC 5397,150.5725,24.71028,18.54,0.269,90,11.99,4.0,0.6,0,2.54
NGC 3108,ESO 435- 32,150.62292,-31.67694,62.32,0.724,110,11.88,4.0,0.6,0,0.0
NGC 3109,ESO 499- 36,150.77792,-26.15889,258.69,0.195,93,9.84,1.0,0.03,1,0.0
NGC 3077,UGC 5398,150.83792,68.73389,67.06,0.832,45,10.06,1.0,0.03,0,3.15
IC 2537,ESO 499- 39,150.97,-27.57111,49.67,0.676,26,12.23,1.0,0.15,0,0.0
NGC 3115,MCG -1-26- 18,151.30875,-7.71861,55.22,0.339,40,8.97,4.0,1.0,0,5.65
NGC 3136,ESO 92- 8,151.45083,-67.3775,44.37,0.692,30,10.8,4.0,1.0,0,0.0
NGC 3124,ESO 567- 17,151.66542,-19.22139,47.44,0.851,165,12.11,1.0,0.15,0,0.0
Leo I,UGC 5470,152.11458,12.3075,172.63,0.759,80,10.28,4.0,1.0,0,0.0
IC 2554,ESO 92- 12,152.21417,-67.0275,50.46,0.417,175,11.76,1.0,0.15,0,0.0
NGC 3137,ESO 435- 47,152.28083,-29.06417,85.19,0.355,1,11.55,1.0,0.08,0,0.0
NGC 3145,MCG -2-26- 36,152.54167,-12.43389,48.75,0.513,0,11.79,1.0,0.15,0,0.0
NGC 3136B,ESO 92- 13,152.55542,-67.005,59.17,0.589,30,11.8,4.0,1.0,0,0.0
Sextans A,MCG -1-26- 30,152.75542,-4.71333,164.6,0.832,0,11.31,1.0,0.03,0,0.0
NGC 3162,UGC 5510,153.38333,22.73972,42.77,0.832,0,11.46,1.0,0.15,0,1.74
NGC 3166,UGC 5516,153.4375,3.42528,57.76,0.49,87,10.42,1.0,0.6,0,5.3
NGC 3158,UGC 5511,153.46167,38.76528,25.24,0.891,0,12.04,4.0,1.0,0,0.0
NGC 3169,UGC 5525,153.56,3.46889,114.81,0.631,45,10.33,1.0,0.5,0,6.58
NGC 3175,ESO 436- 3,153.67667,-28.87222,67.19,0.269,56,11.38,1.0,0.5,1,0.0
NGC 3147,UGC 5532,154.22167,73.40111,42.28,0.891,155,10.68,1.0,0.15,0,3.85
NGC 3185,UGC 5554,154.41125,21.68861,42.93,0.676,130,12.24,1.0,0.5,0,5.2
NGC 3190,UGC 5559,154.52375,21.83306,37.0,0.355,125,11.37,1.0,0.5,0,4.13
NGC 3184,UGC 5557,154.57208,41.42389,128.5,0.933,135,9.81,1.0,0.08,0,0.92
NGC 3193,UGC 5562,154.60417,21.895,28.32,0.891,0,10.93,4.0,1.0,0,5.39
NGC 3200,ESO 567- 45,154.65208,-17.9825,62.43,0.309,169,12.28,1.0,0.15,1,0.0
NGC 3198,UGC 5572,154.97875,45.5525,152.1,0.389,35,10.32,1.0,0.15,0,0.99
NGC 3223,ESO 375- 12,155.4,-34.26667,72.99,0.603,135,11.04,1.0,0.3,0,0.0
NGC 3224,ESO 375- 13,155.42292,-34.69583,19.59,0.813,133,11.1,4.0,1.0,0,0.0
NGC 3183,UGC 5582,155.46,74.17806,23.27,0.589,170,11.93,1.0,0.15,0,0.0
NGC 3226,UGC 5617,155.86417,19.89861,36.49,0.891,15,11.4,4.0,1.0,0,0.0
NGC 3227,UGC 5620,155.88125,19.86333,175.79,0.676,155,10.35,1.0,0.5,0,0.0
A 1020+71,UGC 5612,156.0,70.86667,78.78,0.661,165,12.05,1.0,0.03,0,0.0
NGC 3239,UGC 5637,156.27333,17.15972,46.39,0.661,0,11.18,1.0,0.03,0,0.0
NGC 3244,ESO 317- 24,156.37208,-39.82778,37.92,0.741,170,12.34,1.0,0.08,0,0.0
NGC 3250,ESO 317- 26,156.635,-39.94333,28.65,0.724,148,11.28,4.0,1.0,0,0.0
NGC 3245,UGC 5663,156.82625,28.50806,85.24,0.55,177,10.8,4.0,0.6,0,0.0
NGC 3256,ESO 263- 38,156.96458,-43.90556,25.71,0.562,100,11.6,1.0,0.03,0,0.0
IC 2574,UGC 5666,157.09375,68.41639,326.76,0.407,50,10.25,1.0,0.03,0,1.07
,ESO 436- 27,157.22417,-31.60944,14.71,0.501,0,11.7,4.0,0.6,0,0.0
NGC 3258,ESO 375- 37,157.22583,-35.60611,32.52,0.851,75,11.59,4.0,1.0,0,0.0
NGC 3263,ESO 263- 43,157.30708,-44.10472,58.6,0.275,97,11.95,1.0,0.08,1,0.0
NGC 3254,UGC 5685,157.33333,29.49111,72.76,0.316,46,11.66,1.0,0.15,1,4.79
NGC 3268,ESO 375- 45,157.5025,-35.325,42.38,0.724,71,11.6,4.0,1.0,0,0.0
NGC 3271,ESO 375- 48,157.61083,-35.35861,55.73,0.589,106,11.96,4.0,0.6,0,0.0
NGC 3275,ESO 375- 50,157.71583,-36.74028,32.6,0.759,0,11.05,1.0,0.3,0,0.0
,ESO 263- 48,157.79708,-46.25056,107.78,0.562,168,11.6,4.0,0.6,0,0.0
NGC 3281,ESO 375- 55,157.9675,-34.8575,56.93,0.501,140,11.95,1.0,0.3,0,0.0
NGC 3264,UGC 5719,158.08458,56.08333,26.38,0.427,177,11.95,1.0,0.03,0,1.43
NGC 3277,UGC 5731,158.23083,28.51194,32.23,0.891,0,11.75,1.0,0.3,0,5.83
NGC 3366,ESO 264- 7,158.78542,-43.69222,52.86,0.49,37,11.28,1.0,0.15,0,0.0
NGC 3294,UGC 5753,159.06708,37.32444,38.64,0.513,122,11.65,1.0,0.15,0,0.84
NGC 3308,ESO 501- 34,159.09292,-27.43778,34.44,0.759,32,12.04,4.0,1.0,0,0.0
NGC 3309,ESO 501- 36,159.15125,-27.51806,30.7,0.871,0,11.7,4.0,1.0,0,0.0
NGC 3311,ESO 501- 38,159.18042,-27.52806,36.91,0.832,0,11.75,4.0,1.0,0,0.0
NGC 3301,UGC 5767,159.23167,21.88278,31.68,0.288,52,11.41,1.0,0.6,0,6.12
NGC 3318,ESO 317- 52,159.31542,-41.62833,61.2,0.525,78,11.44,1.0,0.3,0,0.0
NGC 3313,ESO 501- 50,159.35667,-25.31833,99.6,0.813,55,11.46,1.0,0.3,0,0.0
,ESO 501- 51,159.37125,-26.31667,73.43,0.575,117,12.15,1.0,0.5,0,0.0
IC 2597,ESO 501- 58,159.44875,-27.08194,25.24,0.708,4,11.94,4.0,1.0,0,0.0
NGC 3310,UGC 5786,159.69208,53.50222,15.71,0.776,0,10.4,1.0,0.15,0,1.86
NGC 3319,UGC 5789,159.79167,41.68833,181.4,0.55,37,10.93,1.0,0.08,0,4.12
,ESO 376- 9,160.50833,-33.24528,1.61,0.275,127,11.93,4.0,0.6,0,0.0
NGC 3338,UGC 5826,160.53125,13.74778,82.43,0.617,100,11.09,1.0,0.15,0,1.67
NGC 3347,ESO 376- 13,160.69333,-36.35389,43.78,0.575,173,11.42,1.0,0.3,0,0.0
NGC 3344,UGC 5840,160.87833,24.92361,104.98,0.912,0,9.7,1.0,0.15,0,2.42
NGC 3358,ESO 376- 17,160.88958,-36.41083,108.6,0.562,141,11.39,1.0,0.6,0,0.0
NGC 3351,UGC 5850,160.99167,11.70417,104.29,0.676,13,9.78,1.0,0.3,0,5.47
NGC 3367,UGC 5880,161.64375,13.7525,41.79,0.871,0,11.5,1.0,0.15,0,0.0
NGC 3359,UGC 5873,161.65708,63.22278,126.21,0.603,170,10.48,1.0,0.15,0,2.61
NGC 3368,UGC 5882,161.68833,11.82111,118.37,0.692,5,9.36,1.0,0.3,0,4.79
NGC 3348,UGC 5875,161.79167,72.84083,26.43,0.977,0,11.27,4.0,1.0,0,0.0
NGC 3377,UGC 5899,161.92375,13.98333,45.41,0.575,35,10.34,4.0,1.0,0,0.0
NGC 3379,UGC 5902,161.95792,12.5825,37.34,0.891,0,9.34,4.0,1.0,0,0.0
NGC 3390,ESO 437- 62,162.01667,-31.5325,65.15,0.162,177,12.1,1.0,0.3,1,0.0
NGC 3384,UGC 5911,162.07167,12.63028,36.91,0.457,53,9.95,4.0,1.0,0,4.05
NGC 3389,UGC 5914,162.11625,12.53361,26.27,0.49,112,11.81,1.0,0.15,0,1.43
NGC 3395,UGC 5931,162.45625,32.98083,18.08,0.589,50,11.85,1.0,0.08,0,1.6
NGC 3411,MCG -2-28- 12,162.60917,-12.84556,28.0,1.0,0,12.0,4.0,1.0,0,0.0
NGC 3412,UGC 5952,162.72167,13.41278,85.61,0.562,155,10.55,4.0,0.6,0,0.0
